seed,arm,lambda_group,K,bank,step,origin,subset_rank,positions,group_ES
2026,C1,0.03,32,0,2000,phase23_new,5,"[2, 3]",0.8544869512319565
2026,C1,0.03,32,1,2000,phase23_new,0,"[0, 1]",0.8532238990068436
2026,C1,0.03,32,1,2000,phase23_new,1,"[0, 2]",0.8552220433950424
2026,C1,0.03,32,1,2000,phase23_new,2,"[0, 3]",0.8503748536109924
2026,C1,0.03,32,1,2000,phase23_new,3,"[1, 2]",0.8493095517158509
2026,C1,0.03,32,1,2000,phase23_new,4,"[1, 3]",0.8487203359603882
2026,C1,0.03,32,1,2000,phase23_new,5,"[2, 3]",0.8512247443199158
2026,C1,0.1,32,0,2000,phase22_reused,0,"[0, 1]",0.8218091040849685
2026,C1,0.1,32,0,2000,phase22_reused,1,"[0, 2]",0.8263095796108246
2026,C1,0.1,32,0,2000,phase22_reused,2,"[0, 3]",0.8201277166604996
2026,C1,0.1,32,0,2000,phase22_reused,3,"[1, 2]",0.8180784910917283
2026,C1,0.1,32,0,2000,phase22_reused,4,"[1, 3]",0.8151979207992553
2026,C1,0.1,32,0,2000,phase22_reused,5,"[2, 3]",0.8214814960956573
2026,C1,0.1,32,1,2000,phase22_reused,0,"[0, 1]",0.8071403682231904
2026,C1,0.1,32,1,2000,phase22_reused,1,"[0, 2]",0.8108169943094253
2026,C1,0.1,32,1,2000,phase22_reused,2,"[0, 3]",0.8090316116809845
2026,C1,0.1,32,1,2000,phase22_reused,3,"[1, 2]",0.801541343331337
2026,C1,0.1,32,1,2000,phase22_reused,4,"[1, 3]",0.8021029531955719
2026,C1,0.1,32,1,2000,phase22_reused,5,"[2, 3]",0.8077389746904373
2026,C1,0.3,32,0,2000,phase23_new,0,"[0, 1]",0.7742292135953903
2026,C1,0.3,32,0,2000,phase23_new,1,"[0, 2]",0.7778198987245559
2026,C1,0.3,32,0,2000,phase23_new,2,"[0, 3]",0.7774309128522873
2026,C1,0.3,32,0,2000,phase23_new,3,"[1, 2]",0.7693656235933304
2026,C1,0.3,32,0,2000,phase23_new,4,"[1, 3]",0.7708269208669662
2026,C1,0.3,32,0,2000,phase23_new,5,"[2, 3]",0.7760792970657349
2026,C1,0.3,32,1,2000,phase23_new,0,"[0, 1]",0.778393468260765
2026,C1,0.3,32,1,2000,phase23_new,1,"[0, 2]",0.781952953338623
2026,C1,0.3,32,1,2000,phase23_new,2,"[0, 3]",0.7837154239416122
2026,C1,0.3,32,1,2000,phase23_new,3,"[1, 2]",0.7722759157419204
2026,C1,0.3,32,1,2000,phase23_new,4,"[1, 3]",0.7756145000457764
2026,C1,0.3,32,1,2000,phase23_new,5,"[2, 3]",0.7808268368244171
2026,C2,0.03,32,0,2000,phase23_new,0,"[0, 1]",0.8347364634275436
2026,C2,0.03,32,0,2000,phase23_new,1,"[0, 2]",0.836574375629425
2026,C2,0.03,32,0,2000,phase23_new,2,"[0, 3]",0.8312926650047302
2026,C2,0.03,32,0,2000,phase23_new,3,"[1, 2]",0.8336201578378677
