arm,step,index,session,FRC,single_FRC,generated_side_mean,target_side_mean,one_to_one_mean
C1,1000,78,session9,0.565235409889895,0.565235409889895,0.0565235409889895,0.016752473352395693,0.015399861046705387
C1,1000,79,session9,0.3414991374694568,0.25297070235033986,0.03414991374694568,0.025252250388817038,0.022958312209316368
C0,128,0,session0,0.12385059270593138,0.11357370401716424,0.012385059270593139,-0.003608246371610689,-0.0036942928366491003
C0,128,1,session0,0.2291149729896803,0.2291149729896803,0.02291149729896803,0.005152548326412797,0.004897574093252753
C0,128,2,session0,0.46045221892101085,0.3642746489211949,0.046045221892101085,0.01588332515112163,0.015217828645813456
C0,128,3,session0,0.13411104371445723,0.10860442461201289,0.013411104371445723,0.0038831140637760587,0.0031438945202909114
C0,128,4,session1,0.5566441880049939,0.5566441880049939,0.055664418800499396,0.031405017830370495,0.030347005232613817
C0,128,5,session1,0.2949825317049583,0.2943168833905216,0.02949825317049583,0.01708663002236609,0.016508009085008258
C0,128,6,session1,0.3863787808695153,0.3582453484002823,0.03863787808695153,0.020037730947422186,0.01911669779878471
C0,128,7,session1,0.3629936815793401,0.2236321062752455,0.03629936815793401,0.014399600306586352,0.013797668382196584
C0,128,8,session10,0.32086233064987485,0.23991191948889082,0.032086233064987486,0.02053380548223983,0.019879771467509445
C0,128,9,session10,0.31256629051929485,0.0030207092224597467,0.03125662905192948,0.009696646767438418,0.009272354224397721
C0,128,10,session10,0.39455907168826576,0.19336345338490743,0.039455907168826576,0.018446691820358057,0.01792190391553025
C0,128,11,session10,0.41347985151174227,0.41325461626699217,0.04134798515117423,0.01872190542900179,0.017915469376440923
C0,128,12,session11,0.4632449605161174,0.4632449605161174,0.04632449605161174,0.013839806608694216,0.013617125346947302
C0,128,13,session11,0.1500733926580848,-0.007608629375695201,0.015007339265808481,0.00664467057095249,0.006266443320096705
C0,128,14,session11,0.10750160152415983,0.06492373628034337,0.010750160152415983,0.0048577879536943775,0.004646057209858505
C0,128,15,session11,0.3086268370400688,0.3086268370400688,0.030862683704006882,0.00979612742800425,0.009546746604970851
C0,128,16,session12,0.20570947436539178,0.12051597400744263,0.02057094743653918,0.013655510804965635,0.013059530590200713
C0,128,17,session12,0.39928348389343987,0.35184961074424226,0.03992834838934399,0.017893438338818755,0.01736889321104781
C0,128,18,session12,0.1907557150880387,0.17208313069767223,0.01907557150880387,0.008984366708026301,0.008594488744744073
C0,128,19,session12,0.19398614631338593,0.19398614631338593,0.019398614631338594,0.011726292315122178,0.011409153284698857
C0,128,20,session13,0.33134623409630837,0.3098040068205599,0.03313462340963084,0.016299018199076958,0.015830703967757286
C0,128,21,session13,0.31730880655254434,0.25655556659492407,0.03173088065525444,0.018978398253546063,0.018498822036199535
C0,128,22,session13,0.25844203257802145,0.22758017555208354,0.025844203257802144,0.015516473075755155,0.014957943208020704
C0,128,23,session13,0.32119678287723374,0.19567402957680796,0.03211967828772337,0.020327713882262226,0.019429449446656467
C0,128,24,session14,0.46065543191151537,0.09040518788051302,0.04606554319115154,0.013110465613754303,0.01249060723546487
C0,128,25,session14,0.34215649249188657,0.2913169432153967,0.03421564924918866,0.01796835204456474,0.01775720266513496
C0,128,26,session14,0.23135509607069465,0.23135509607069465,0.023135509607069466,0.008490101433264993,0.008043282627467068
C0,128,27,session14,0.1710810143737707,0.1710810143737707,0.017108101437377073,0.007128587716891581,0.0066197786892093925
C0,128,28,session15,0.23752548106038754,0.23595044293239156,0.023752548106038752,0.011215861624994425,0.011100898366004109
C0,128,29,session15,0.10165112444742971,0.048086825160286194,0.010165112444742972,0.000872952675339092,0.0004988578372377899
C0,128,30,session15,0.07014499760798319,0.01608851040033261,0.007014499760798319,0.0020184221112483293,0.0014331577035192216
C0,128,31,session15,0.14383420235711836,0.12685234496189435,0.014383420235711836,0.001997894370176609,0.0017998843877939403
C0,128,32,session16,0.1882912353384875,-0.05338771993163252,0.01882912353384875,0.010621207184534949,0.008700871709823213
C0,128,33,session16,0.12901389660672893,0.08923614293583976,0.012901389660672894,0.006188280376810339,0.0058350822608595875
C0,128,34,session16,0.19646588208741056,0.16567254008083804,0.019646588208741055,0.008727799047288699,0.00825940477240365
C0,128,35,session16,0.3203267358781373,0.3190552468048573,0.03203267358781373,0.008996163112266432,0.008697929821908786
C0,128,36,session17,0.2455523284832101,-0.07713324104920889,0.02455523284832101,0.00869057092986891,0.00837601051100958
C0,128,37,session17,0.14214305693720927,0.0114197001869414,0.014214305693720928,0.0007439033019164984,0.00011251701158759321
C0,128,38,session17,0.3281281518843782,0.3240057567607592,0.03281281518843782,0.011613753519478397,0.011504113655688635
C0,128,39,session17,0.3578454057590136,0.3452649629453407,0.03578454057590136,0.013046989487049628,0.012292464654303274
C0,128,40,session18,0.3274979480394945,0.10911459449324457,0.03274979480394945,0.012286045628907,0.01170055888726763
C0,128,41,session18,0.13475674152396358,-0.004060497233035287,0.013475674152396358,0.007856165495380896,0.00743539833174498
C0,128,42,session18,0.29233484602367116,0.01868333741046294,0.029233484602367115,0.0063490882554064956,0.005836131610396493
C0,128,43,session18,0.5210075733061946,0.5210075733061946,0.05210075733061946,0.017709139865281397,0.016689259760109876
C0,128,44,session19,0.29774744896696903,0.290933079825325,0.029774744896696903,0.013345777458513758,0.012874441654947505
C0,128,45,session19,0.20469788456490434,0.20469788456490434,0.020469788456490435,0.004246124818470941,0.0037582311453697023
C0,128,46,session19,0.3828819667244604,0.11510909519108407,0.03828819667244604,0.011033867167246759,0.010624683306104178
C0,128,47,session19,0.4279057559786997,0.405013389362812,0.042790575597869966,0.017490475615066732,0.01672656568184077
C0,128,48,session2,0.07320373335330214,-0.03942977740492073,0.007320373335330215,0.004012770075572358,0.0030749093771335113
C0,128,49,session2,0.06169932296769085,-0.20299595599286957,0.006169932296769085,-0.002638459798124356,-0.003276728743185757
C0,128,50,session2,0.264080662661902,-0.04019156691931522,0.0264080662661902,0.009755455887753308,0.008564606787181812
C0,128,51,session2,0.32030614925267187,0.30146070636074523,0.03203061492526719,0.009851615142165551,0.009242673621839264
C0,128,52,session21,0.5062955727841127,0.5062955727841127,0.05062955727841127,0.013658520906992665,0.013259129565854521
C0,128,53,session21,0.2852668093338457,0.2351077052467483,0.02852668093338457,0.013570971070010967,0.012728178904291777
C0,128,54,session21,0.5622412339216251,0.5622412339216251,0.056224123392162505,0.018907405224503238,0.018234765641388002
C0,128,55,session21,0.6109601523462413,0.6109601523462413,0.061096015234624136,0.025790436671761934,0.02506895319306627
C0,128,56,session3,0.526190466560563,0.2955901477224757,0.0526190466560563,0.017877634833439234,0.017051545158618762
C0,128,57,session3,0.48488001886459897,0.1795577135996675,0.048488001886459894,0.02234143547261991,0.02178272633519101
C0,128,58,session3,0.2950471513872615,0.2754293014904668,0.02950471513872615,0.012871245346614647,0.01260600691979068
C0,128,59,session3,0.2953454872569868,0.2953454872569868,0.02953454872569868,0.0068530247730899845,0.006467892757790616
C0,128,60,session4,0.3286416801068992,0.12024614754146044,0.03286416801068992,0.00994364078217329,0.009470391801328141
C0,128,61,session4,0.3351961205165754,0.3351961205165754,0.03351961205165754,0.0013166237344817357,0.0011334493118508294
C0,128,62,session4,0.059814083005613146,-0.051057887931728205,0.005981408300561314,0.001831521531947786,0.0016136986628360554
