T,arm,step,bank,group,statistics
750,C0,6000,0,AU,"{""cross_distance"": 0.3675558425486088, ""self_distance"": 0.17125022718682886, ""ES"": 0.2819307269528508, ""prediction_std"": 0.10154413669370115, ""boundary_fraction"": 0.09550027123186737, ""temporal_mean"": 0.22983909538015723, ""temporal_std"": 0.09344974239356815, ""velocity_abs_mean"": 0.03493558661430143, ""velocity_rms"": 0.08342656618915498}"
750,C0,6000,0,VA,"{""cross_distance"": 0.7458815895020962, ""self_distance"": 0.939870723336935, ""ES"": 0.27594622783362865, ""prediction_std"": 0.6696180626749992, ""boundary_fraction"": 0.0, ""temporal_mean"": 0.07711671028955606, ""temporal_std"": 0.45412581600248814, ""velocity_abs_mean"": 0.1651578543242067, ""velocity_rms"": 0.4105302656069398}"
750,C0,6000,0,expression,"{""cross_distance"": 0.30161453764885665, ""self_distance"": 0.16711080158129335, ""ES"": 0.2180591370910406, ""prediction_std"": 0.08472948377020657, ""boundary_fraction"": 0.28151936857029797, ""temporal_mean"": 0.125, ""temporal_std"": 0.06603223632555455, ""velocity_abs_mean"": 0.02632481568143703, ""velocity_rms"": 0.0740431773243472, ""expression_entropy"": 1.1609660372138024}"
750,C0,6000,1,overall,"{""cross_distance"": 0.39262251928448677, ""self_distance"": 0.30404519885778425, ""ES"": 0.24059992078691722, ""prediction_std"": 0.1371122014708817, ""boundary_fraction"": 0.14833422657102346, ""temporal_mean"": 0.17835258711129426, ""temporal_std"": 0.11071349047124386, ""velocity_abs_mean"": 0.0422693639760837, ""velocity_rms"": 0.1399912386201322, ""expression_entropy"": 1.168949721008539}"
750,C0,6000,1,AU,"{""cross_distance"": 0.3651642264798284, ""self_distance"": 0.16206290582194924, ""ES"": 0.28413277454674246, ""prediction_std"": 0.09725348213687539, ""boundary_fraction"": 0.09574286056449637, ""temporal_mean"": 0.22503507230430841, ""temporal_std"": 0.08933358476497233, ""velocity_abs_mean"": 0.033936641714535656, ""velocity_rms"": 0.08227538743522018}"
750,C0,6000,1,VA,"{""cross_distance"": 0.7339194387197494, ""self_distance"": 0.914745108038187, ""ES"": 0.2765468847006559, ""prediction_std"": 0.6534440889954567, ""boundary_fraction"": 0.0, ""temporal_mean"": 0.04164433323312551, ""temporal_std"": 0.45707569234073164, ""velocity_abs_mean"": 0.16976501876488329, ""velocity_rms"": 0.41548670530319215}"
750,C0,6000,1,expression,"{""cross_distance"": 0.300049788877368, ""self_distance"": 0.1619366044178605, ""ES"": 0.21908148620277643, ""prediction_std"": 0.08276433208957315, ""boundary_fraction"": 0.2840265968814492, ""temporal_mean"": 0.125, ""temporal_std"": 0.06421028189361096, ""velocity_abs_mean"": 0.02601930905948393, ""velocity_rms"": 0.07201219091657549, ""expression_entropy"": 1.168949721008539}"
128,C1,1000,0,overall,"{""cross_distance"": 0.381380033493042, ""self_distance"": 0.2563981290906668, ""ES"": 0.2531809687614441, ""prediction_std"": 0.12287738136947154, ""boundary_fraction"": 0.0677351058460772, ""temporal_mean"": 0.17435964643955232, ""temporal_std"": 0.059678837412502614, ""velocity_abs_mean"": 0.040586539334617554, ""velocity_rms"": 0.07940685371868313, ""expression_entropy"": 1.3842891857028008}"
128,C1,1000,0,AU,"{""cross_distance"": 0.358678712323308, ""self_distance"": 0.128770671505481, ""ES"": 0.29429337605834005, ""prediction_std"": 0.08215852295979857, ""boundary_fraction"": 0.018007609896903885, ""temporal_mean"": 0.23713809344917536, ""temporal_std"": 0.06590248889988289, ""velocity_abs_mean"": 0.046277961367741226, ""velocity_rms"": 0.08420838244492188}"
128,C1,1000,0,VA,"{""cross_distance"": 0.6802945166826249, ""self_distance"": 0.7640825800597668, ""ES"": 0.29825322665274145, ""prediction_std"": 0.6290689796209336, ""boundary_fraction"": 0.0, ""temporal_mean"": -0.09903996170614845, ""temporal_std"": 0.06922261780127884, ""velocity_abs_mean"": 0.029364841675851495, ""velocity_rms"": 0.08593487299513072}"
