arm,step,index,max_chunk_error,old_strict_pass,fp64_chunk_max,fp32_to_fp64_max,multi_FRC_chunk_error,single_FRC_chunk_error,boundary_abs_change,interior_abs_change
C1,2000,46,1.2218952178955078e-06,True,,,,,0.053019557148218155,0.023829210549592972
C1,2000,47,1.1026859283447266e-06,True,,,,,0.04121273010969162,0.03325572609901428
C1,2000,48,8.344650268554688e-07,True,,,,,0.05902669206261635,0.02834894508123398
C1,2000,49,9.5367431640625e-07,True,,,,,0.029293281957507133,0.02735108695924282
C1,2000,50,9.238719940185547e-07,True,,,,,0.04396282508969307,0.02967410907149315
C1,2000,51,9.238719940185547e-07,True,,,,,0.03918841481208801,0.030854089185595512
C1,2000,52,1.2814998626708984e-06,True,,,,,0.053728457540273666,0.023839227855205536
C1,2000,53,1.1324882507324219e-06,True,,,,,0.05710260570049286,0.02418011799454689
C1,2000,54,1.2814998626708984e-06,True,,,,,0.06105136498808861,0.027170591056346893
C1,2000,55,1.5720725059509277e-06,True,,,,,0.04140552505850792,0.019994687288999557
C1,2000,56,8.344650268554688e-07,True,,,,,0.05953759700059891,0.03565270081162453
C1,2000,57,1.0281801223754883e-06,True,,,,,0.1441648155450821,0.03786906972527504
C1,2000,58,1.043081283569336e-06,True,,,,,0.02691570669412613,0.03302020952105522
C1,2000,59,1.1920928955078125e-06,True,,,,,0.08943074196577072,0.03348435461521149
C1,2000,60,1.218169927597046e-06,True,,,,,0.04261782765388489,0.02317821979522705
C1,2000,61,1.0132789611816406e-06,True,,,,,0.0446624830365181,0.027357695624232292
C1,2000,62,9.5367431640625e-07,True,,,,,0.03097488544881344,0.011730145663022995
C1,2000,63,1.1026859283447266e-06,True,,,,,0.07321654260158539,0.02597218193113804
C1,2000,64,9.5367431640625e-07,True,,,,,0.030729124322533607,0.02692338079214096
C1,2000,65,1.1026859283447266e-06,True,,,,,0.029134584590792656,0.029236560687422752
C1,2000,66,9.834766387939453e-07,True,,,,,0.047464776784181595,0.031144948676228523
C1,2000,67,9.98377799987793e-07,True,,,,,0.03722868114709854,0.030408456921577454
C1,2000,68,9.5367431640625e-07,True,,,,,0.04418943449854851,0.014359764754772186
C1,2000,69,9.238719940185547e-07,True,,,,,0.021348776295781136,0.004716853145509958
C1,2000,70,8.642673492431641e-07,True,,,,,0.021511487662792206,0.006299202796071768
C1,2000,71,8.940696716308594e-07,True,,,,,0.025393249467015266,0.007114070001989603
C1,2000,72,1.043081283569336e-06,True,,,,,0.0434563048183918,0.017954489216208458
C1,2000,73,1.3709068298339844e-06,True,,,,,0.04660152271389961,0.01974578946828842
C1,2000,74,1.1324882507324219e-06,True,,,,,0.044709499925374985,0.020485764369368553
C1,2000,75,1.1622905731201172e-06,True,,,,,0.05512386932969093,0.020841825753450394
C1,2000,76,1.4007091522216797e-06,True,,,,,0.046562422066926956,0.019307082518935204
C1,2000,77,1.0710209608078003e-06,True,,,,,0.04088779538869858,0.025317752733826637
C1,2000,78,1.2516975402832031e-06,True,,,,,0.052629489451646805,0.016928354278206825
C1,2000,79,8.940696716308594e-07,True,,,,,0.0341792032122612,0.027927428483963013
C2,500,0,1.3969838619232178e-06,True,,,,,0.06499327719211578,0.04234058037400246
C2,500,1,1.1920928955078125e-06,True,,,,,0.06936150789260864,0.077381931245327
C2,500,2,1.087784767150879e-06,True,,,,,0.03193223103880882,0.05465143918991089
C2,500,3,1.1324882507324219e-06,True,,,,,,0.07158929854631424
C2,500,4,1.1622905731201172e-06,True,,,,,0.08286578208208084,0.045339178293943405
C2,500,5,1.2218952178955078e-06,True,,,,,0.03883451223373413,0.05755253881216049
C2,500,6,1.2069940567016602e-06,True,,,,,0.13069863617420197,0.05009209364652634
C2,500,7,1.0728836059570312e-06,True,,,,,0.0703604593873024,0.04822099581360817
C2,500,8,1.0654330253601074e-06,True,,,,,0.06571534276008606,0.02524186298251152
C2,500,9,1.259148120880127e-06,True,,,,,0.08999429643154144,0.043428853154182434
C2,500,10,1.296401023864746e-06,True,,,,,0.07102152705192566,0.044761475175619125
