seed,arm,lambda_group,input_index,frames,K,boundary_abs_change,interior_abs_change,finite,domain,candidate_consistency_max_error
123,C1,0.03,73,3596,10,0.06665834039449692,0.0070496550761163235,True,True,1.6242265701293945e-06
123,C1,0.03,74,5279,10,0.06723469495773315,0.009049633517861366,True,True,1.6093254089355469e-06
123,C1,0.03,75,5456,10,0.055186670273542404,0.00839386135339737,True,True,1.9669532775878906e-06
123,C1,0.03,76,3209,10,0.056032147258520126,0.008825057186186314,True,True,1.7136335372924805e-06
123,C1,0.03,77,2183,10,0.051298610866069794,0.01100542489439249,True,True,1.218169927597046e-06
123,C1,0.03,78,6781,10,0.0611196905374527,0.008240263909101486,True,True,1.5497207641601562e-06
123,C1,0.03,79,1654,10,0.05694088712334633,0.011853675357997417,True,True,1.3709068298339844e-06
123,C1,0.1,0,1926,10,0.05028936639428139,0.01918138936161995,True,True,9.834766387939453e-07
123,C1,0.1,1,1167,10,0.04132063314318657,0.03191559016704559,True,True,1.1622905731201172e-06
123,C1,0.1,2,1470,10,0.05202265456318855,0.02476113848388195,True,True,1.0132789611816406e-06
123,C1,0.1,3,692,10,,0.027600616216659546,True,True,1.1324882507324219e-06
123,C1,0.1,4,1053,10,0.06915630400180817,0.01851830817759037,True,True,1.0691583156585693e-06
123,C1,0.1,5,1048,10,0.04887994006276131,0.026121405884623528,True,True,9.834766387939453e-07
123,C1,0.1,6,2399,10,0.08006270229816437,0.021352028474211693,True,True,1.2218952178955078e-06
123,C1,0.1,7,1922,10,0.04845041781663895,0.019862966611981392,True,True,1.0132789611816406e-06
123,C1,0.1,8,2068,10,0.04472676292061806,0.013212813064455986,True,True,1.0952353477478027e-06
123,C1,0.1,9,1497,10,0.04716607183218002,0.02056758850812912,True,True,1.0728836059570312e-06
123,C1,0.1,10,1558,10,0.04873206466436386,0.02205474302172661,True,True,1.043081283569336e-06
123,C1,0.1,11,1227,10,0.08174474537372589,0.02179645374417305,True,True,1.1175870895385742e-06
123,C1,0.1,12,4147,10,0.06682571768760681,0.012418897822499275,True,True,1.2665987014770508e-06
123,C1,0.1,13,4776,10,0.0437137745320797,0.01261112466454506,True,True,1.1920928955078125e-06
123,C1,0.1,14,4410,10,0.06353546679019928,0.012813162058591843,True,True,1.043081283569336e-06
123,C1,0.1,15,1980,10,0.07420679926872253,0.02203507348895073,True,True,1.3485550880432129e-06
123,C1,0.1,16,1085,10,0.07735876739025116,0.020353438332676888,True,True,1.2069940567016602e-06
123,C1,0.1,17,3846,10,0.07054241746664047,0.01978411339223385,True,True,1.0132789611816406e-06
123,C1,0.1,18,2070,10,0.04481947422027588,0.0131296431645751,True,True,1.2218952178955078e-06
123,C1,0.1,19,2335,10,0.06628195196390152,0.014850699342787266,True,True,1.6689300537109375e-06
123,C1,0.1,20,1109,10,0.05118744075298309,0.03381642326712608,True,True,1.0542571544647217e-06
123,C1,0.1,21,1020,10,0.05058026686310768,0.028717000037431717,True,True,1.2367963790893555e-06
123,C1,0.1,22,935,10,0.05443136766552925,0.03180314227938652,True,True,1.1026859283447266e-06
123,C1,0.1,23,1051,10,0.03576189652085304,0.03225282207131386,True,True,9.834766387939453e-07
123,C1,0.1,24,990,10,0.05495643615722656,0.019639700651168823,True,True,1.0132789611816406e-06
123,C1,0.1,25,984,10,0.07224494218826294,0.020984789356589317,True,True,9.5367431640625e-07
123,C1,0.1,26,1413,10,0.05002585053443909,0.022381192073225975,True,True,1.1436641216278076e-06
123,C1,0.1,27,1256,10,0.037021223455667496,0.022257179021835327,True,True,1.0728836059570312e-06
123,C1,0.1,28,473,10,,0.028062233701348305,True,True,1.0356307029724121e-06
123,C1,0.1,29,476,10,,0.023855991661548615,True,True,9.797513484954834e-07
123,C1,0.1,30,1232,10,0.040893327444791794,0.025447988882660866,True,True,1.169741153717041e-06
123,C1,0.1,31,870,10,0.06677340716123581,0.027171438559889793,True,True,9.834766387939453e-07
123,C1,0.1,32,514,10,,0.0293546374887228,True,True,1.0728836059570312e-06
123,C1,0.1,33,389,10,,0.025394141674041748,True,True,9.5367431640625e-07
123,C1,0.1,34,1233,10,0.05099862813949585,0.020362455397844315,True,True,1.1473894119262695e-06
123,C1,0.1,35,689,10,,0.026868648827075958,True,True,1.0058283805847168e-06
123,C1,0.1,36,415,10,,0.024585727602243423,True,True,8.344650268554688e-07
