model,seed,arm,lambda_group,input_index,official_FRC,generated_side_mean,target_side_mean,one_to_one_mean
seed123_C0_lambda0,123,C0,0,7,0.29081966424711964,0.029081966424711964,0.01893216099215924,0.0167577326257839
seed123_C0_lambda0,123,C0,0,8,0.49783537957226065,0.049783537957226065,0.03168296261563357,0.03035283178820205
seed123_C0_lambda0,123,C0,0,9,0.2647041302319389,0.02647041302319389,0.017575987940394073,0.014786232009354593
seed123_C0_lambda0,123,C0,0,10,0.23406592305771443,0.023406592305771443,0.0155765348291068,0.013088163257929464
seed123_C0_lambda0,123,C0,0,11,0.5624921164241434,0.056249211642414344,0.03252970271580254,0.03058716866978155
seed123_C0_lambda0,123,C0,0,12,0.4507405488788498,0.045074054887884976,0.01882264364733669,0.01860320337078926
seed123_C0_lambda0,123,C0,0,13,0.14994637588012943,0.014994637588012944,0.009780112265795532,0.008448498967498143
seed123_C0_lambda0,123,C0,0,14,0.11318692510845724,0.011318692510845723,0.006112811175742518,0.0050522062478853625
seed123_C0_lambda0,123,C0,0,15,0.1484086236576412,0.01484086236576412,0.008551942539139577,0.005037243634609988
seed123_C0_lambda0,123,C0,0,16,0.3356128091252212,0.03356128091252212,0.014365245393143957,0.013300770432426426
seed123_C0_lambda0,123,C0,0,17,0.4862066152686667,0.04862066152686667,0.02692958534817827,0.025615464530737396
seed123_C0_lambda0,123,C0,0,18,0.18460286263515768,0.018460286263515768,0.015461433543686565,0.01332630117042718
seed123_C0_lambda0,123,C0,0,19,0.265064685453325,0.0265064685453325,0.018387532980157335,0.017916894619420577
seed123_C0_lambda0,123,C0,0,20,0.26703019892964175,0.026703019892964176,0.015309981859812725,0.013194128400457472
seed123_C0_lambda0,123,C0,0,21,0.20470306957987341,0.020470306957987343,0.013732714942331258,0.009009216124714014
seed123_C0_lambda0,123,C0,0,22,0.24819972079607586,0.024819972079607587,0.016698375180885773,0.014741667763860267
seed123_C0_lambda0,123,C0,0,23,0.23991589748363776,0.023991589748363774,0.020351515771998896,0.016301213372001723
seed123_C0_lambda0,123,C0,0,24,0.24229644854818858,0.024229644854818856,0.023259116143182205,0.01229345693895578
seed123_C0_lambda0,123,C0,0,25,0.14591965262206458,0.014591965262206458,0.014783241406740422,0.009150735548997452
seed123_C0_lambda0,123,C0,0,26,0.20668749611668114,0.020668749611668112,0.017359678348228123,0.011607546877641543
seed123_C0_lambda0,123,C0,0,27,0.11445399657161506,0.011445399657161506,0.01288693075145075,0.008619368888015918
seed123_C0_lambda0,123,C0,0,28,0.19505128076691275,0.019505128076691275,0.020746726141045526,0.015493054440525844
seed123_C0_lambda0,123,C0,0,29,0.12672436213670635,0.012672436213670635,0.013527252009391288,0.009880680922185322
seed123_C0_lambda0,123,C0,0,30,0.11812507266786418,0.011812507266786417,0.0115004432973292,0.007607169125534198
seed123_C0_lambda0,123,C0,0,31,0.11358754426184445,0.011358754426184444,0.01096649863772804,0.006269672617542946
seed123_C0_lambda0,123,C0,0,32,0.19831466016747892,0.019831466016747894,0.019855406066064302,0.013692744604797113
seed123_C0_lambda0,123,C0,0,33,0.16158656327517598,0.016158656327517597,0.015633814872450053,0.01221585484039105
seed123_C0_lambda0,123,C0,0,34,0.16356175066551912,0.01635617506655191,0.020771276747835,0.010615451346932083
seed123_C0_lambda0,123,C0,0,35,0.16240036970802796,0.016240036970802795,0.014775904334694955,0.009625556164593544
seed123_C0_lambda0,123,C0,0,36,0.373615184225067,0.0373615184225067,0.04318419251281534,0.022940199091162947
seed123_C0_lambda0,123,C0,0,37,0.15560352467638322,0.015560352467638322,0.014340033206436908,0.010062560813972981
seed123_C0_lambda0,123,C0,0,38,0.27271475676826545,0.027271475676826546,0.028592757303697196,0.01877388474909371
seed123_C0_lambda0,123,C0,0,39,0.16389837538116103,0.016389837538116105,0.020112991987007823,0.011374936738779432
seed123_C0_lambda0,123,C0,0,40,0.1764897564402339,0.01764897564402339,0.014847323713310875,0.011314042267699673
seed123_C0_lambda0,123,C0,0,41,0.10899423727256502,0.010899423727256502,0.016681279032390785,0.006165706854326103
seed123_C0_lambda0,123,C0,0,42,0.17421782456479165,0.017421782456479164,0.011982754207878154,0.008803865059724995
seed123_C0_lambda0,123,C0,0,43,0.4194619984385282,0.041946199843852824,0.022646372667627895,0.014836648933635751
seed123_C0_lambda0,123,C0,0,44,0.38725577200713296,0.0387255772007133,0.020137842978836713,0.01684155424369019
seed123_C0_lambda0,123,C0,0,45,0.23754095581108708,0.02375409558110871,0.014793330379020642,0.012069806629231752
seed123_C0_lambda0,123,C0,0,46,0.21124584513821706,0.021124584513821706,0.01536240569320505,0.011363273725265575
seed123_C0_lambda0,123,C0,0,47,0.49386031404100733,0.049386031404100736,0.031120615968619987,0.026052733065343316
seed123_C0_lambda0,123,C0,0,48,0.16017124151779957,0.016017124151779957,0.012492841840099243,0.0075973211694357595
seed123_C0_lambda0,123,C0,0,49,0.04639895456920744,0.004639895456920744,0.006036162507839929,0.0016760227343891314
seed123_C0_lambda0,123,C0,0,50,0.1220223031756739,0.01220223031756739,0.012401089635277699,0.00852353393556127
seed123_C0_lambda0,123,C0,0,51,0.3212583134729707,0.03212583134729707,0.015767440623685257,0.012717000680893414
seed123_C0_lambda0,123,C0,0,52,0.5813257633559332,0.05813257633559332,0.02527960490752813,0.01946948400865224
seed123_C0_lambda0,123,C0,0,53,0.23450417362661466,0.023450417362661465,0.021666113276297267,0.017418313619209487
seed123_C0_lambda0,123,C0,0,54,0.20569907477943883,0.020569907477943884,0.021061235738194982,0.01463073611008015
seed123_C0_lambda0,123,C0,0,55,0.48769150735009065,0.048769150735009065,0.027030384437543586,0.022420567157744535
seed123_C0_lambda0,123,C0,0,56,0.33915955162729744,0.033915955162729744,0.016608260139824946,0.014185298126311165
seed123_C0_lambda0,123,C0,0,57,0.5150202823136744,0.05150202823136744,0.0346727781063634,0.023281477406112663
seed123_C0_lambda0,123,C0,0,58,0.1548415190925516,0.015484151909255159,0.02170867249206466,0.009975231617691012
seed123_C0_lambda0,123,C0,0,59,0.1216023687638107,0.01216023687638107,0.012738340513763342,0.006991339465001599
seed123_C0_lambda0,123,C0,0,60,0.33178064888871434,0.033178064888871435,0.014929024718864004,0.012565738945251398
seed123_C0_lambda0,123,C0,0,61,0.2945215009496084,0.029452150094960838,0.0031411436932515893,0.002104699073227865
seed123_C0_lambda0,123,C0,0,62,0.11611726406512607,0.011611726406512608,0.006689011673082994,0.005575126582590811
seed123_C0_lambda0,123,C0,0,63,0.21064674285002363,0.021064674285002364,0.005958666152354656,0.004476814383345065
seed123_C0_lambda0,123,C0,0,64,0.16128569224697792,0.01612856922469779,0.007888635613688952,0.007014185577575588
seed123_C0_lambda0,123,C0,0,65,0.11058940379710534,0.011058940379710534,0.00808953384272338,0.0053689951909577874
seed123_C0_lambda0,123,C0,0,66,0.4024829048968681,0.04024829048968681,0.020751871089567372,0.01986323228467755
seed123_C0_lambda0,123,C0,0,67,0.19563750102024177,0.01956375010202418,0.010684424927602862,0.009150328281409346
seed123_C0_lambda0,123,C0,0,68,0.096770869999038,0.0096770869999038,0.006874481242360779,0.005148060096909664
seed123_C0_lambda0,123,C0,0,69,0.17117390864432613,0.017117390864432612,0.01633929939948977,0.012136674627846374
seed123_C0_lambda0,123,C0,0,70,0.11428351175154877,0.011428351175154877,0.00539537953421884,0.004390641469229855
seed123_C0_lambda0,123,C0,0,71,0.1198666231139169,0.011986662311391689,0.012174124835939912,0.009116375947871815
seed123_C0_lambda0,123,C0,0,72,0.2616931004868222,0.02616931004868222,0.009887265583709816,0.008140384486456233
seed123_C0_lambda0,123,C0,0,73,0.1326519487094714,0.013265194870947138,0.001406936806153207,0.0004193218360295157
seed123_C0_lambda0,123,C0,0,74,0.1508708440019135,0.01508708440019135,0.00944330260176092,0.005485627285543855
seed123_C0_lambda0,123,C0,0,75,0.16132118732458695,0.016132118732458695,0.009713380865523143,0.00824824736511269
seed123_C0_lambda0,123,C0,0,76,0.34537502384708846,0.034537502384708846,0.018656397389378094,0.01608380722935848
seed123_C0_lambda0,123,C0,0,77,0.1876654822307542,0.01876654822307542,0.016258468707709448,0.015030740361293777
seed123_C0_lambda0,123,C0,0,78,0.307430117193323,0.030743011719332303,0.018854877624342715,0.01576128628465341
seed123_C0_lambda0,123,C0,0,79,0.228295902678309,0.0228295902678309,0.012170257515447584,0.010780184902388893
seed123_C1_lambda0.03,123,C1,0.03,0,0.1296417665632331,0.012964176656323309,0.0028291557618702026,0.002072588153415441
seed123_C1_lambda0.03,123,C1,0.03,1,0.13049264936924734,0.013049264936924734,0.005028704782787807,0.004253976310029015
seed123_C1_lambda0.03,123,C1,0.03,2,0.48764432005313596,0.04876443200531359,0.02086161671918968,0.0193890610805934
seed123_C1_lambda0.03,123,C1,0.03,3,0.11869168470555895,0.011869168470555896,0.007874310030866853,0.006725511000937561
seed123_C1_lambda0.03,123,C1,0.03,4,0.5743499688044732,0.05743499688044732,0.0315164156190419,0.030239506151731925
seed123_C1_lambda0.03,123,C1,0.03,5,0.27518080728849675,0.027518080728849675,0.02354767092911709,0.0196052455857997
seed123_C1_lambda0.03,123,C1,0.03,6,0.5737170254147274,0.05737170254147274,0.02879231501796033,0.0267157099682181
seed123_C1_lambda0.03,123,C1,0.03,7,0.3055486197577754,0.03055486197577754,0.018783746800113646,0.01665844592202006
seed123_C1_lambda0.03,123,C1,0.03,8,0.40098637569476536,0.040098637569476535,0.027855132667606492,0.025735202196141994
seed123_C1_lambda0.03,123,C1,0.03,9,0.2407698177602539,0.02407698177602539,0.013232472521977495,0.01064417110609202
seed123_C1_lambda0.03,123,C1,0.03,10,0.21621800098382707,0.02162180009838271,0.017865642512821987,0.012098029217094297
seed123_C1_lambda0.03,123,C1,0.03,11,0.48107664319318233,0.04810766431931823,0.030457252601833774,0.02808512377274221
seed123_C1_lambda0.03,123,C1,0.03,12,0.5755643136028062,0.05755643136028062,0.01742346748168156,0.016342312149743965
seed123_C1_lambda0.03,123,C1,0.03,13,0.0919192313188555,0.00919192313188555,0.006334024544094254,0.004651613351901852
