arm,step,source,group,weight,total,DC,slow,fast
B0-fixed,500,71,AU,0.6,0.05115912786174139,0.02596798335665664,0.014524149919004912,0.010666994586079831
B0-fixed,500,71,VA,0.08,0.024825885456764913,0.01841767355068226,0.003933783310202768,0.002474428595879879
B0-fixed,500,71,expression,0.32,0.05129321501984062,0.03552631392501358,0.009515530979650428,0.006251370115176606
B0-fixed,500,72,AU,0.6,0.09515860484952984,0.03556638542258774,0.04349292642443219,0.016099293002509917
B0-fixed,500,72,VA,0.08,0.035976837034455415,0.021600244055113082,0.010914389176549289,0.0034622038027930526
B0-fixed,500,72,expression,0.32,0.056933149532763475,0.01922405015825783,0.028348808303052583,0.009360291071453069
B0-fixed,500,73,AU,0.6,0.09037397768729068,0.04364401403229425,0.03029241890703797,0.016437544747958457
B0-fixed,500,73,VA,0.08,0.032609929582666765,0.017895725562909182,0.010238188265128349,0.0044760157546292305
B0-fixed,500,73,expression,0.32,0.09289198426373238,0.048318669850467864,0.029994890249116616,0.014578424164147903
B0-fixed,500,74,AU,0.6,0.08313779587597371,0.030714095458562428,0.03806131883759597,0.01436238157981531
B0-fixed,500,74,VA,0.08,0.019642504852897393,0.008523625405438518,0.008135966405683068,0.0029829130417758057
B0-fixed,500,74,expression,0.32,0.04671130512698297,0.017556976808368475,0.022202666452191034,0.006951661866423459
B0-fixed,500,75,AU,0.6,0.09194700658159131,0.04089542242729739,0.037581793998811786,0.013469790155482147
B0-fixed,500,75,VA,0.08,0.033572203984102135,0.01980974246322868,0.009864730587086175,0.0038977309337872874
B0-fixed,500,75,expression,0.32,0.06899118064828634,0.028871032639317104,0.02896565000711523,0.011154498001854002
B0-fixed,500,76,AU,0.6,0.08861014929999249,0.031178077349561854,0.04103121731871304,0.01640085463171761
B0-fixed,500,76,VA,0.08,0.022411197121194163,0.00653190662257614,0.012166354801305037,0.0037129356973129956
B0-fixed,500,76,expression,0.32,0.06558401866581412,0.02745508479720852,0.02947724746070898,0.008651686407896616
B0-fixed,500,77,AU,0.6,0.09648563326591031,0.03928636674713778,0.04201820105146633,0.015181065467306215
B0-fixed,500,77,VA,0.08,0.027640188994186687,0.016457282376692254,0.008369662768708073,0.0028132438487863524
B0-fixed,500,77,expression,0.32,0.05183383092079744,0.021705625165007313,0.022136429133472104,0.007991776622318026
B0-fixed,500,78,AU,0.6,0.06148926761801707,0.020438177501686448,0.028925329619668996,0.012125760496661624
B0-fixed,500,78,VA,0.08,0.019103094788329555,0.007937341199007604,0.007771796239913957,0.0033939573494079977
B0-fixed,500,78,expression,0.32,0.05738669149721253,0.022268979238511375,0.02352717385419671,0.011590538404504457
B0-fixed,500,79,AU,0.6,0.10901763025533992,0.0318389782841667,0.057769068760791555,0.019409583210381668
B0-fixed,500,79,VA,0.08,0.027789960554474614,0.012997151524919417,0.011422831856328792,0.003369977173226407
B0-fixed,500,79,expression,0.32,0.07596588118069564,0.03409840884568585,0.032861318940127046,0.00900615339488275
B0-fixed,1000,0,AU,0.6,0.10327435914489155,0.028749190433332947,0.061990093933704,0.012535074777854635
B0-fixed,1000,0,VA,0.08,0.037027215444316246,0.018412161478231336,0.01599936682282637,0.0026156871432585498
