model,source,group,total,DC,slow,fast,weight,speed,acceleration
G0-local,41,VA,0.01458189974868728,0.002776618461585303,0.010234953879032877,0.0015703274080691,0.08,0.02665856406871314,0.045680228325434294
G0-local,41,expression,0.02313456200947591,0.00732466750579582,0.013975070722874844,0.0018348237808052444,0.32,0.015370945318270197,0.026580187035847018
G0-local,42,AU,0.0917303721484646,0.010353880229732198,0.07833679054275379,0.0030397013759786164,0.6,0.015315887950299758,0.026634680223344552
G0-local,42,VA,0.023170055217637396,0.0010916933760736422,0.02023755202541895,0.0018408098161448046,0.08,0.02789490652299278,0.047926565137011906
G0-local,42,expression,0.04727870831506392,0.004363112702984207,0.039829800875991694,0.0030857947360880197,0.32,0.023266649859091427,0.040090093237458116
G0-local,43,AU,0.08197905719363481,0.007595637160809928,0.07029322467242488,0.004090195360399997,0.6,0.016023349949504564,0.027947785854392098
G0-local,43,VA,0.02132366856590586,0.0008529503033461356,0.018909690592478375,0.0015610276700813513,0.08,0.025311887759833562,0.04316277942026495
G0-local,43,expression,0.04280488711941641,0.006292103791132942,0.03401861959030887,0.0024941637379746,0.32,0.019561730700091737,0.033626760964450955
G0-local,44,AU,0.10539160718146875,0.0048749546451194985,0.09580734052804624,0.004709312008303036,0.6,0.016659548379655297,0.02908884759085966
G0-local,44,VA,0.0306875053300676,0.0006898215549098929,0.02736153004750412,0.0026361537276535893,0.08,0.03185639625505983,0.054574827632871796
G0-local,44,expression,0.05327826224647428,0.0024499865586108116,0.047108730511497554,0.00371954517636592,0.32,0.023559726047769666,0.0406481201700344
G0-local,45,AU,0.09137825829623272,0.0050295954171962675,0.08297544657310324,0.0033732163059332016,0.6,0.014823946160488226,0.025765069132347235
G0-local,45,VA,0.02182660153272137,0.0008002382674700548,0.018924910827151163,0.0021014524381001553,0.08,0.028584157208596223,0.048788081866704046
G0-local,45,expression,0.044373743840925614,0.0030830369637614577,0.0377341161855907,0.0035565906915734687,0.32,0.024325961569656575,0.041898798418057125
G0-local,46,AU,0.0859933848172374,0.004277211705861917,0.07700892407627291,0.004707249035102557,0.6,0.017513230669886422,0.030559332392949248
G0-local,46,VA,0.02928392626837836,0.0005676294954778164,0.02602973122528364,0.0026865655476168986,0.08,0.033526594317187415,0.057436754828219055
G0-local,46,expression,0.04330667065432778,0.0013096502172199526,0.03800155039593885,0.003995470041168959,0.32,0.024162143455966012,0.04163656317304912
G0-local,47,AU,0.08580543199210323,0.0051820564030543685,0.07706466750825207,0.0035587080807967797,0.6,0.014009094617208862,0.02433446875584975
G0-local,47,VA,0.023360862848843422,0.0008008132765985566,0.020748039118488527,0.0018120104537563335,0.08,0.02710106702818607,0.046375715721446456
G0-local,47,expression,0.04316823431519906,0.003868932006999565,0.036074786531673994,0.003224515776525501,0.32,0.023075446323869757,0.039835908662405786
G0-local,48,AU,0.07872061051101935,0.01367289254268344,0.06307577842275305,0.0019719395455828474,0.6,0.010200079021306178,0.017598551165513694
G0-local,48,VA,0.014781354315849461,0.002333756809204283,0.011256776397201346,0.001190821109443831,0.08,0.022447657636739463,0.03816881703565129
G0-local,48,expression,0.045968913801226606,0.009901579622161637,0.03319675100163077,0.0028705831774341896,0.32,0.023165422636834174,0.039767331988320685
G0-local,49,AU,0.05963986255311327,0.008679314630086511,0.04801926560617581,0.002941282316850955,0.6,0.01362942233452907,0.02380299974309141
G0-local,49,VA,0.02029086787889232,0.001082309384495956,0.01704642903113776,0.0021621294632586034,0.08,0.03020372686699169,0.05178420181786588
G0-local,49,expression,0.03264768982749763,0.005278455800146916,0.024857127658500226,0.0025121063688504815,0.32,0.01998532543872269,0.034370760128841604
G0-local,50,AU,0.07182951154463563,0.012737425684399168,0.05651276473570312,0.00257932112453335,0.6,0.012378336229470665,0.02148712795182348
G0-local,50,VA,0.015209984775978604,0.0010065033343561204,0.012817506949180803,0.0013859744924416804,0.08,0.02429530267315467,0.04178100417569603
G0-local,50,expression,0.03728847856694381,0.004402562248819033,0.03057622333047934,0.002309692987645445,0.32,0.018875587409168237,0.032645690745923814
G0-local,51,AU,0.096733401226069,0.016038240534977703,0.07738653084201831,0.0033086298490730003,0.6,0.014318421003530354,0.024666164952372557
G0-local,51,VA,0.03147967673963143,0.0019747884652130715,0.027522150423654978,0.0019827378507633864,0.08,0.02807145391888469,0.04790494598766388
G0-local,51,expression,0.0534496749086701,0.007291478881340906,0.04291095585771694,0.0032472401696122485,0.32,0.022082549075693552,0.03791866313753093
G0-local,52,AU,0.06192045440639404,0.0033379487397310133,0.05423889631637701,0.004343609350286025,0.6,0.015842359771761336,0.02783302145069896
G0-local,52,VA,0.017072230745076068,0.00028640351196725805,0.014380560001489948,0.0024052672316188617,0.08,0.032296521985448357,0.05550962538373597
