model,source,candidate,best_CCC
G0-local,24,9,0.1686196663880074
G0-local,25,0,0.15273117350651394
G0-local,25,1,0.06782600680903954
G0-local,25,2,0.1583628764109773
G0-local,25,3,0.17855491276047497
G0-local,25,4,0.10824558382943567
G0-local,25,5,0.1825300787454762
G0-local,25,6,0.16326925324109048
G0-local,25,7,0.18288526862984014
G0-local,25,8,0.1605003787699223
G0-local,25,9,0.15799457193088526
G0-local,26,0,0.06031586516655756
G0-local,26,1,0.13973204641623757
G0-local,26,2,0.19174894436686785
G0-local,26,3,0.14406636823095398
G0-local,26,4,0.17737482949607902
G0-local,26,5,0.1254397425111219
G0-local,26,6,0.13548450423792002
G0-local,26,7,0.08718241619217448
G0-local,26,8,0.15324458221307982
G0-local,26,9,0.10686255247551861
G0-local,27,0,0.1297470697310782
G0-local,27,1,0.13606702712103902
G0-local,27,2,0.16689124263074043
G0-local,27,3,0.09498823527399834
G0-local,27,4,0.13956448396303772
G0-local,27,5,0.12491409743301025
G0-local,27,6,0.12576666763812924
G0-local,27,7,0.11465721052987643
G0-local,27,8,0.12618213513517854
G0-local,27,9,0.11041058139909969
G0-local,28,0,0.21349801175583566
G0-local,28,1,0.13774397597058957
G0-local,28,2,0.07475093145530234
G0-local,28,3,0.08464059842639404
G0-local,28,4,0.127194180788044
G0-local,28,5,0.11949123342580989
G0-local,28,6,0.15900743361923245
G0-local,28,7,0.1883883424295442
G0-local,28,8,0.1337714486217704
G0-local,28,9,0.10515855405483436
G0-local,29,0,0.06688672202645085
G0-local,29,1,0.0835403697882
G0-local,29,2,0.0821682107163151
G0-local,29,3,0.14903639348297198
G0-local,29,4,0.0472964168233996
G0-local,29,5,0.1666944865425846
G0-local,29,6,0.11847155547390269
G0-local,29,7,0.15967246927876724
G0-local,29,8,0.1698429610430538
G0-local,29,9,0.1627979808046934
G0-local,30,0,0.128824139078388
G0-local,30,1,0.10678191307779306
G0-local,30,2,0.1428273751229354
G0-local,30,3,0.16504236013043364
