arm,index,session,length,covariance_RMSE,autocorr_lag1_MAE,autocorr_lag1_valid_channels,autocorr_lag10_MAE,autocorr_lag10_valid_channels,autocorr_lag30_MAE,autocorr_lag30_valid_channels
C1,32,session16,514,0.017696754174202897,0.2931330937719221,12,0.13968686885421605,12,0.1216758455636156,12
C2,32,session16,514,0.018119645709213112,0.39474282649330367,12,0.14633418359064207,12,0.14360176383780973,12
C0,33,session16,389,0.03451900338953261,0.2815668118648623,11,0.30690975132860016,11,0.16514201169568038,11
C1,33,session16,389,0.02783288543006996,0.3961241467832944,11,0.23379157732169406,11,0.21968204386051848,11
C2,33,session16,389,0.02780307363240675,0.45755930267983297,11,0.15998683030830196,11,0.09994278706408338,11
C0,34,session16,1233,0.02826744102077916,0.13796937467554685,13,0.14624532837668852,13,0.1315898433923685,13
C1,34,session16,1233,0.022654220817219784,0.19201298046830192,13,0.14152194492757927,13,0.1748242880134064,13
C2,34,session16,1233,0.020057576683834396,0.22374829654551057,13,0.10223325685655389,13,0.1466593140534552,13
C0,35,session16,689,0.03005328519031881,0.20345171260283348,11,0.18962747530386495,11,0.16104236239221884,11
C1,35,session16,689,0.024536852426730423,0.28499608586563846,11,0.1781994634415631,11,0.14081747039737877,11
C2,35,session16,689,0.025392705110510252,0.3394379728241044,11,0.16538759266712644,11,0.17900235507513054,11
C0,36,session17,415,0.02954746316899233,0.25122442472399586,10,0.21292033467929375,10,0.1455956491290575,10
C1,36,session17,415,0.01856617196056683,0.3032873678712662,10,0.18651145438963904,10,0.1324771013905947,10
C2,36,session17,415,0.01934671915124696,0.343331756560872,10,0.20801351573412435,10,0.1782075814563259,10
C0,37,session17,600,0.03182653343160163,0.25466186719698625,11,0.21450186192783838,11,0.12457289355134402,11
C1,37,session17,600,0.024140544563361458,0.33356310402591705,11,0.15392723981977866,11,0.08339343462161725,11
C2,37,session17,600,0.024887570858075643,0.4525147794884377,11,0.17166646862378077,11,0.09902543963689525,11
C0,38,session17,543,0.03252695315479238,0.2725282682147222,10,0.24902532148534712,10,0.17193047264969452,10
C1,38,session17,543,0.02497423666847058,0.29095771530673187,10,0.1846579322298197,10,0.15739870401110762,10
C2,38,session17,543,0.02666985594610668,0.331872061933259,10,0.1711933420483865,10,0.20555922428844364,10
C0,39,session17,516,0.030640828163878888,0.33129852391660397,11,0.2622955926660137,11,0.1693181722416979,11
C1,39,session17,516,0.02178975776779393,0.28677834102922434,11,0.15171401414353733,11,0.11856280864359253,11
