model,source,group,candidate_covariance,correlation,undefined_fraction
G1-shared,74,expression,0.010193645804672238,0.7346149546851256,0.0
G1-shared,75,AU,0.023382374494246093,0.8570318693276553,0.0
G1-shared,75,VA,0.014688832325024296,0.9618633469373866,0.0
G1-shared,75,expression,0.021273796765327566,0.9013140516622075,0.0
G1-shared,76,AU,0.0163364258936372,0.7072282074357992,0.0
G1-shared,76,VA,0.00430030304394892,0.9269157731807054,0.0
G1-shared,76,expression,0.016283170428057638,0.7561963278121362,0.0
G1-shared,77,AU,0.021464552022622756,0.7456838700892,0.0
G1-shared,77,VA,0.012198623111743995,0.9756998237167271,0.0
G1-shared,77,expression,0.016446449690824344,0.883484657236258,0.0
G1-shared,78,AU,0.012837199505863213,0.7211147223385641,0.0
G1-shared,78,VA,0.006013466584678846,0.897435841350252,0.0
G1-shared,78,expression,0.01756818355995889,0.7971397590874465,0.0
G1-shared,79,AU,0.02365722102037175,0.7609186813215423,0.0
G1-shared,79,VA,0.009311808068402334,0.9360387811674467,0.0
G1-shared,79,expression,0.020192132055418803,0.8263738542732462,0.0
T0,0,AU,-2.316436620758189e-05,0.06603476272662882,0.0
T0,0,VA,-0.0018228268945500656,-0.4340101980903013,0.0
T0,0,expression,-0.003144350444672965,-0.29353568066847363,0.0
T0,1,AU,-0.0009952163804018844,-0.07791053469549093,0.0
T0,1,VA,-0.00048590608403836723,-0.21499599108221396,0.0
T0,1,expression,-0.002486770886133592,-0.2602234460901216,0.0
T0,2,AU,-0.002619707779304104,-0.24096690393909206,0.0
