pairing,model,source,candidate,target,target_switched,ccc
A_native,G0-local,5,6,0,0,0.13217870729380846
A_native,G0-local,5,7,7,0,0.13084497774749398
A_native,G0-local,5,8,7,0,0.025622931078448333
A_native,G0-local,5,9,7,0,0.13352172205735047
B_fixed_G0,G0-local,5,0,7,0,0.11985464139266284
B_fixed_G0,G0-local,5,1,7,0,0.12929163306949623
B_fixed_G0,G0-local,5,2,7,0,0.10608418731779494
B_fixed_G0,G0-local,5,3,2,0,0.13286460075138926
B_fixed_G0,G0-local,5,4,0,0,0.14468054502675923
B_fixed_G0,G0-local,5,5,2,0,0.13740471586062317
B_fixed_G0,G0-local,5,6,0,0,0.13217870729380846
B_fixed_G0,G0-local,5,7,7,0,0.13084497774749398
B_fixed_G0,G0-local,5,8,7,0,0.025622931078448333
B_fixed_G0,G0-local,5,9,7,0,0.13352172205735047
A_native,G1-shared,5,0,0,1,0.0700904165284784
A_native,G1-shared,5,1,0,1,0.0910509399106058
A_native,G1-shared,5,2,7,0,0.07186592355691418
A_native,G1-shared,5,3,1,1,0.08379316721247865
A_native,G1-shared,5,4,4,1,0.039500246309340216
A_native,G1-shared,5,5,7,1,0.10230240305234943
A_native,G1-shared,5,6,7,1,0.031859983962846464
A_native,G1-shared,5,7,7,0,0.045000988429109136
A_native,G1-shared,5,8,0,1,0.11897924892796632
A_native,G1-shared,5,9,1,1,0.0706964626682736
B_fixed_G0,G1-shared,5,0,7,1,0.05344792347772941
B_fixed_G0,G1-shared,5,1,7,1,0.06501864586916822
B_fixed_G0,G1-shared,5,2,7,0,0.07186592355691418
B_fixed_G0,G1-shared,5,3,2,1,0.03489986153310724
B_fixed_G0,G1-shared,5,4,0,1,0.022818436220365237
B_fixed_G0,G1-shared,5,5,2,1,0.06718880729016348
B_fixed_G0,G1-shared,5,6,0,1,-0.0030961038729226146
B_fixed_G0,G1-shared,5,7,7,0,0.045000988429109136
B_fixed_G0,G1-shared,5,8,7,1,0.06328691048870805
B_fixed_G0,G1-shared,5,9,7,1,0.051265252417965375
A_native,T0,6,0,7,0,0.09735202351826619
A_native,T0,6,1,9,0,0.09532295851081558
A_native,T0,6,2,1,0,0.07692068648786435
A_native,T0,6,3,9,1,0.0961088586252695
A_native,T0,6,4,3,0,0.09783868082421904
A_native,T0,6,5,4,1,0.06529093279805803
A_native,T0,6,6,0,0,0.08971382297314566
A_native,T0,6,7,9,1,0.061598899373172554
A_native,T0,6,8,4,1,0.0794529499307124
A_native,T0,6,9,0,0,0.0695908257836609
B_fixed_G0,T0,6,0,7,0,0.09735202351826619
B_fixed_G0,T0,6,1,9,0,0.09532295851081558
B_fixed_G0,T0,6,2,1,0,0.07692068648786435
B_fixed_G0,T0,6,3,3,1,0.051397333169258944
B_fixed_G0,T0,6,4,3,0,0.09783868082421904
B_fixed_G0,T0,6,5,7,1,0.03814865090795994
B_fixed_G0,T0,6,6,0,0,0.08971382297314566
B_fixed_G0,T0,6,7,7,1,0.06115095948136316
B_fixed_G0,T0,6,8,3,1,0.011263250407176994
B_fixed_G0,T0,6,9,0,0,0.0695908257836609
A_native,G0-local,6,0,7,0,0.11087921360139687
A_native,G0-local,6,1,9,0,0.11393537092162166
A_native,G0-local,6,2,1,0,0.07567843613068105
A_native,G0-local,6,3,3,0,0.07478834741829803
A_native,G0-local,6,4,3,0,0.08339031014735054
A_native,G0-local,6,5,7,0,0.0758083394298366
A_native,G0-local,6,6,0,0,0.07596291595285011
A_native,G0-local,6,7,7,0,0.06018629416914015
A_native,G0-local,6,8,3,0,0.052545426775254686
A_native,G0-local,6,9,0,0,0.0901006098916122
B_fixed_G0,G0-local,6,0,7,0,0.11087921360139687
B_fixed_G0,G0-local,6,1,9,0,0.11393537092162166
B_fixed_G0,G0-local,6,2,1,0,0.07567843613068105
B_fixed_G0,G0-local,6,3,3,0,0.07478834741829803
B_fixed_G0,G0-local,6,4,3,0,0.08339031014735054
B_fixed_G0,G0-local,6,5,7,0,0.0758083394298366
B_fixed_G0,G0-local,6,6,0,0,0.07596291595285011
B_fixed_G0,G0-local,6,7,7,0,0.06018629416914015
B_fixed_G0,G0-local,6,8,3,0,0.052545426775254686
B_fixed_G0,G0-local,6,9,0,0,0.0901006098916122
A_native,G1-shared,6,0,7,0,0.08719746062734092
A_native,G1-shared,6,1,9,0,0.09705370949459428
A_native,G1-shared,6,2,9,1,0.061982452802053695
A_native,G1-shared,6,3,9,1,0.09184852600610867
A_native,G1-shared,6,4,3,0,0.10085721683469769
A_native,G1-shared,6,5,9,1,0.059537522860858436
A_native,G1-shared,6,6,9,1,0.08394491289492406
A_native,G1-shared,6,7,9,1,0.1453670677304656
A_native,G1-shared,6,8,0,1,0.05594141909677932
A_native,G1-shared,6,9,0,0,0.07284417080917999
B_fixed_G0,G1-shared,6,0,7,0,0.08719746062734092
B_fixed_G0,G1-shared,6,1,9,0,0.09705370949459428
B_fixed_G0,G1-shared,6,2,1,1,0.05539842539285242
B_fixed_G0,G1-shared,6,3,3,1,0.05896874127830507
B_fixed_G0,G1-shared,6,4,3,0,0.10085721683469769
B_fixed_G0,G1-shared,6,5,7,1,0.031502614571016864
B_fixed_G0,G1-shared,6,6,0,1,0.0626943729062306
B_fixed_G0,G1-shared,6,7,7,1,0.02709169950168343
B_fixed_G0,G1-shared,6,8,3,1,0.041179069326726124
B_fixed_G0,G1-shared,6,9,0,0,0.07284417080917999
A_native,T0,7,0,8,0,0.0956456320621703
A_native,T0,7,1,8,0,0.12975012372436573
A_native,T0,7,2,8,1,0.08386425754314064
A_native,T0,7,3,8,0,0.09882937395001232
A_native,T0,7,4,0,0,0.1151785017230877
A_native,T0,7,5,8,1,0.07867941216250063
A_native,T0,7,6,1,1,0.09981150213006279
A_native,T0,7,7,2,0,0.09722505387655833
A_native,T0,7,8,8,0,0.1506817962320051
A_native,T0,7,9,2,0,0.11339158073791257
B_fixed_G0,T0,7,0,8,0,0.0956456320621703
B_fixed_G0,T0,7,1,8,0,0.12975012372436573
B_fixed_G0,T0,7,2,5,1,0.06762639980278538
B_fixed_G0,T0,7,3,8,0,0.09882937395001232
B_fixed_G0,T0,7,4,0,0,0.1151785017230877
B_fixed_G0,T0,7,5,3,1,0.043129143468359776
B_fixed_G0,T0,7,6,2,1,0.07048615460874676
B_fixed_G0,T0,7,7,2,0,0.09722505387655833
B_fixed_G0,T0,7,8,8,0,0.1506817962320051
B_fixed_G0,T0,7,9,2,0,0.11339158073791257
A_native,G0-local,7,0,8,0,0.09186504292713563
A_native,G0-local,7,1,8,0,0.11360536968227816
A_native,G0-local,7,2,5,0,0.06803929349226465
A_native,G0-local,7,3,8,0,0.09332501618255674
A_native,G0-local,7,4,0,0,0.11988258061585755
A_native,G0-local,7,5,3,0,0.08453826367070605
A_native,G0-local,7,6,2,0,0.09912208423638795
