pairing,model,source,group,ccc,GT_zero_mean_ccc,mean_mismatch,mean_fraction,std_ratio,scale_factor,mean_factor,pearson_r,constant_p,constant_y,pearson_undefined_fraction,pearson_r_within_q10,pearson_r_within_q50,pearson_r_within_q90,std_ratio_within_q10,std_ratio_within_q50,std_ratio_within_q90
B_fixed_G0,G0-local,1,all,0.09782981055475898,0.11479659035352842,0.04548493973414373,0.22895539476864848,6.606205119754544,0.44842462846686554,0.7710446052313515,0.1703442770080921,0.0,0.232,0.23199999999999998,-0.08619381837248548,0.15471149696600128,0.47176498570363096,0.0002557303407229483,0.6358236074447632,1.4523249506950382
A_native,G1-shared,1,AU,0.039212050841149336,0.043711986481433526,0.05278090581563294,0.2692252408093592,0.6277492029429823,0.31376911704183313,0.7307747591906407,0.07620637488645075,0.0,0.43333333333333335,0.43333333333333335,-0.17605384929490298,0.06170403490330067,0.3281150079668533,7.243175059556962e-05,0.5948148965835571,1.3391336917877197
A_native,G1-shared,1,VA,0.033888561826649025,0.06791483688883952,0.03291418209137006,0.3702942771025469,0.8232709467411041,0.8705714906358223,0.6297057228974532,0.08536030096003422,0.0,0.0,0.0,-0.3070894538493521,0.13653582993027225,0.3514019867313542,0.4008196473121643,0.7104914486408234,1.2717150449752814
A_native,G1-shared,1,expression,0.041631982771292826,0.04907207995405375,0.03150386385961164,0.18128557754621058,80.95840621937796,0.4676302157732394,0.8187144224537896,0.06601114871285721,0.0,0.0,0.0,-0.061648156366815546,0.04298939660219699,0.2200876252469692,0.014359952695667744,0.8794687688350677,25.289690971374558
A_native,G1-shared,1,all,0.039560549937635234,0.047363444425264474,0.044382914491765096,0.24917007146860665,35.38646810127142,0.4075488585234023,0.7508299285313933,0.07278724206258148,0.0,0.26,0.26,-0.10299315922872102,0.05702024702056982,0.29774041643430954,0.0002634889708133418,0.7382988929748535,6.1983616828918455
B_fixed_G0,G1-shared,1,AU,-0.008119031445398064,-0.0102426808953185,0.05776065888444252,0.2670616094015884,0.6045663946490513,0.35360142549324797,0.7329383905984116,-0.02155107925902661,0.0,0.38666666666666666,0.3866666666666667,-0.19184359370291967,-0.02188146808299538,0.14190220367859568,0.0001050323546223808,0.5281392335891724,1.1533921957015991
B_fixed_G0,G1-shared,1,VA,0.04626355075995491,0.05358911347391264,0.05990030820202328,0.2993585115171583,0.5655037790536881,0.7549758703829369,0.7006414884828418,0.08042504176405325,0.0,0.0,0.0,-0.11539296562099038,0.06600352338132964,0.33221422587686733,0.2927236557006836,0.49755115807056427,1.0396467804908756
B_fixed_G0,G1-shared,1,expression,0.016090050861332417,0.015566933899554459,0.04998402375161165,0.18324912480855482,20.84765688258749,0.44552970272893483,0.8167508751914452,0.021294743540707345,0.0,0.0,0.0,-0.10526184560627787,-0.010973728231200356,0.18333693418328864,0.017681576125323773,0.8067636787891388,28.3386318206789
B_fixed_G0,G1-shared,1,all,0.003978481469183929,0.0031229393885793383,0.0554433075873431,0.2428253665010633,9.035118408832217,0.4151284297998428,0.7571746334989368,0.0069238595141000265,0.0,0.232,0.23199999999999998,-0.14083345303182293,-0.01223802731983585,0.17033238288802827,0.00024883131991373404,0.5436915159225464,4.461640024185188
A_native,T0,2,AU,0.05531469387604368,0.0604394832080227,0.026118339800518392,0.17315250698395582,0.7913457145815282,0.449786436482988,0.8268474930160442,0.08777627566260937,0.0,0.32,0.31999999999999995,-0.06683306254371021,0.04890448915773031,0.28605740765240095,0.00026690742524806423,0.9372389912605286,1.2546257376670846
A_native,T0,2,VA,0.03817098683277438,0.05481715092951681,0.038284458797534525,0.26731584280341625,0.6884052574634552,0.9102450276028305,0.7326841571965838,0.06205935020656249,0.0,0.0,0.0,-0.22926669846724254,0.07987812726380261,0.28306962330489066,0.49963569939136504,0.680773913860321,0.8309557676315309
A_native,T0,2,expression,0.062336970151438076,0.06363175244839024,0.007587831861943893,0.09549761043165786,46.15049698872026,0.5082144116754843,0.9045023895683422,0.06949502466796463,0.0,0.0,0.0,-0.05002046501237314,0.006907258087995513,0.29342170807508944,0.03266464229673147,0.9537449479103088,37.38249168395996
A_native,T0,2,all,0.056190325720708346,0.061011222782659844,0.021161866779935846,0.15583600695277733,18.74517389670399,0.5053200758341742,0.8441639930472227,0.07798994601561672,0.0,0.192,0.19199999999999995,-0.07043365465546261,0.03146730328451642,0.2918666558702784,0.00362644996494055,0.8948571979999542,5.174132251739503
B_fixed_G0,T0,2,AU,0.025324603778578206,0.02757406062354569,0.046578507815968694,0.20055772073525235,0.9067975353745422,0.41850761893014954,0.7994422792647476,0.03975870911561874,0.0,0.35333333333333333,0.3533333333333334,-0.12151996513669597,-0.00557154926927718,0.2532154332113344,0.0002029496477916837,0.9380393624305725,1.3838478803634662
