pairing,comparison,group,source,r_contribution,scale_contribution,mean_contribution
A_native,G1-minus-T0,AU,63,-0.006053118781847545,-0.009754040628913586,-0.0038313206884664462
A_native,G1-minus-T0,AU,64,0.01616423657349564,-0.008231323217357851,-0.0006477275614452655
A_native,G1-minus-T0,AU,65,-0.027802850353447706,-0.006770253688940636,-0.00402724578440386
A_native,G1-minus-T0,AU,66,-0.011573582473751629,-0.005698681739492604,-0.0006766347516341354
A_native,G1-minus-T0,AU,67,-0.007742729531251894,-0.00030964951559169537,0.00653688167322307
A_native,G1-minus-T0,AU,68,-0.004952027551618987,0.00016928407590842797,-0.0004482393923977183
A_native,G1-minus-T0,AU,69,0.0005163289983840163,-0.0037323996601814143,-0.0014267650280892455
A_native,G1-minus-T0,AU,70,-0.003612569927702801,0.000546765721935168,-0.0013967985801443309
A_native,G1-minus-T0,AU,71,-0.006278476029409575,-0.0032257768906060334,-0.0020241919559170177
A_native,G1-minus-T0,AU,72,-0.011722621245343255,-0.008410521347577977,-0.0008319159251966537
A_native,G1-minus-T0,AU,73,-0.013150877170301903,-0.0021512247160806915,-0.0019354054636386822
A_native,G1-minus-T0,AU,74,-0.006257610790310713,-0.004468649285710882,-0.006247563103903641
A_native,G1-minus-T0,AU,75,0.00011461269892245717,-0.0025348032977309137,-0.003807801242904792
A_native,G1-minus-T0,AU,76,-0.002033823136322146,-0.0073929002442234696,-0.005335585693007766
A_native,G1-minus-T0,AU,77,0.003454589836296758,-0.004399828844475355,-0.0006348006666287075
A_native,G1-minus-T0,AU,78,-0.014253428990434903,-0.01037977457703851,-0.0076289808497596165
A_native,G1-minus-T0,AU,79,-0.018394833749340273,-0.0034342840582060117,0.001126841539579914
A_native,G1-minus-T0,VA,0,0.020442596579030747,0.00014310639180575803,-0.011994933108453381
A_native,G1-minus-T0,VA,1,-0.03636755403317072,-0.0005691162709343682,0.020209573538124897
A_native,G1-minus-T0,VA,2,0.04028360685927497,-0.016908590328355178,0.006367627669357614
A_native,G1-minus-T0,VA,3,-0.03311176718982287,-0.0008939771346526352,0.020148198370632704
A_native,G1-minus-T0,VA,4,-0.04458538627749377,-0.012411549644169496,0.02204585846216491
A_native,G1-minus-T0,VA,5,-0.0696913655481669,0.008183582860659292,-0.02404898781200258
A_native,G1-minus-T0,VA,6,-0.019497592093285842,-0.009387465775804398,0.02152382895217659
A_native,G1-minus-T0,VA,7,-0.0237385303953662,-0.011048158015094112,-0.00426193769358531
A_native,G1-minus-T0,VA,8,0.027540833844684937,0.002769952266006557,-0.009833050389685034
A_native,G1-minus-T0,VA,9,0.033755975770090874,0.0030274254695141917,0.0012234855865057629
A_native,G1-minus-T0,VA,10,-0.009712053657828885,-0.008152513854567434,0.010178515678136874
A_native,G1-minus-T0,VA,11,-0.07037497822862746,-0.000768638739006317,-0.0077835114744325
A_native,G1-minus-T0,VA,12,-0.025505879856377173,-0.001177923136011548,0.002742440893346039
A_native,G1-minus-T0,VA,13,-0.02423772812003529,0.003732934148773094,-0.008045017072873733
A_native,G1-minus-T0,VA,14,-0.018645301157499346,-0.003273765840451143,-0.02029879900838182
A_native,G1-minus-T0,VA,15,0.02153195592901975,-0.0018607280066925982,-0.0045631292303800275
A_native,G1-minus-T0,VA,16,0.007218939796799578,0.010353088587410075,0.013291437975115955
A_native,G1-minus-T0,VA,17,0.01342877230496679,-0.0036738125126156373,0.012251318475151488
A_native,G1-minus-T0,VA,18,-0.0034539683222169827,0.0029589645743377836,-0.005199184607659872
A_native,G1-minus-T0,VA,19,-0.0037330199934090813,-0.0024697865085495214,-0.018144130331931494
A_native,G1-minus-T0,VA,20,-0.019865465768038788,-0.006955564702664172,-0.0014561930161234252
A_native,G1-minus-T0,VA,21,-0.003979758211609667,0.008918585971675018,-0.01692934154463734
A_native,G1-minus-T0,VA,22,0.006392458123037054,0.015798905386992648,-0.025050373552474046
A_native,G1-minus-T0,VA,23,0.05723466157120788,0.008214604991882918,-0.02029337921478086
