model,source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation,undefined_fraction
G0-local,13,expression,1,2,750,750,-0.0002666690589788134,0.057079074627281914,0.0
G0-local,13,expression,2,3,750,750,-0.00025834206507650614,-0.0015670203438633463,0.0
G0-local,13,expression,3,4,750,750,-0.0015912939722390973,-0.07515788175249136,0.0
G0-local,13,expression,4,5,750,750,-0.0003540088694836613,-0.05700449337162921,0.0
G0-local,13,expression,5,6,750,276,0.0026735796498257667,0.09904776853805364,0.0
G1-shared,13,AU,0,1,750,750,0.01781363348560788,0.7614146658055497,0.0
G1-shared,13,AU,1,2,750,750,0.023082839086783644,0.7459962863319132,0.0
G1-shared,13,AU,2,3,750,750,0.024919211884937023,0.7820795545910879,0.0
G1-shared,13,AU,3,4,750,750,0.02886907171085125,0.7063094253596324,0.0
G1-shared,13,AU,4,5,750,750,0.029824616023067012,0.7753958184072848,0.0
G1-shared,13,AU,5,6,750,276,0.02431585335023997,0.7758831956376949,0.0
