source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation
42,expression,0,1,750,600,0.033602957001145274,0.928220618501907
43,AU,0,1,750,306,0.013633773754685068,0.8649201463048449
43,VA,0,1,750,306,0.011726144939134212,0.9711701314775342
43,expression,0,1,750,306,0.007965627628593819,0.8745322864348105
44,AU,0,1,750,750,0.025885909398508558,0.7889778964270685
44,AU,1,2,750,750,0.025062136187816934,0.5856576356609393
44,AU,2,3,750,153,0.03185217005330063,0.6642709562204842
44,VA,0,1,750,750,0.013947500744009064,0.5482948082579446
44,VA,1,2,750,750,0.015010579990521364,0.9265610926755719
44,VA,2,3,750,153,0.014548130626666437,0.5254645395976261
44,expression,0,1,750,750,0.017259816399194355,0.7095142555973593
44,expression,1,2,750,750,0.022415360068898778,0.7414357181792515
44,expression,2,3,750,153,0.019713851089815396,0.705006939029422
45,AU,0,1,750,750,0.020986780469079813,0.8318569647129228
45,AU,1,2,750,750,0.023519948758955113,0.8435747717004168
45,AU,2,3,750,1,0.01504482504690265,0.25439011579970955
45,VA,0,1,750,750,0.01001784011511469,1.0163446236243834
45,VA,1,2,750,750,0.012869176280174687,0.8553007238105299
45,VA,2,3,750,1,0.01853544654060484,0.005123912934167918
45,expression,0,1,750,750,0.019098617079075324,0.894495981670954
45,expression,1,2,750,750,0.023800568784959578,1.0141158829401284
45,expression,2,3,750,1,0.0028384833178295163,0.15304749588288763
46,AU,0,1,750,750,0.009897650761309485,0.6318230875458736
46,AU,1,2,750,750,0.016999137125479125,0.8090772166186504
46,AU,2,3,750,750,0.013835617088414638,0.9261503175459644
46,AU,3,4,750,687,0.01822730031681739,0.8310523097191743
46,VA,0,1,750,750,0.010011992327221511,0.770950592222259
46,VA,1,2,750,750,0.01203924974696348,1.4931338235411187
46,VA,2,3,750,750,0.011191999241514549,1.0413777860643265
46,VA,3,4,750,687,0.012183434333510672,0.9160726514788798
46,expression,0,1,750,750,0.014652913418333871,0.9790505571998188
46,expression,1,2,750,750,0.018733527560435108,0.9361817693602871
46,expression,2,3,750,750,0.01809352193099373,0.9823750822724022
46,expression,3,4,750,687,0.019407491270987655,0.9775465778063908
47,AU,0,1,750,750,0.013618338119278397,0.8433722843644365
47,AU,1,2,750,300,0.018219650732899564,0.9788584093722337
47,VA,0,1,750,750,0.004664310354661185,0.8767758206975371
47,VA,1,2,750,300,0.005750665864273761,1.0288483280636098
47,expression,0,1,750,750,0.01785938279225475,0.7809717020922603
47,expression,1,2,750,300,0.018705005154573733,0.9611493783494706
48,AU,0,1,750,185,0.01645090894304922,0.891882447592463
48,VA,0,1,750,185,0.004723686391734851,0.6812180911643242
48,expression,0,1,750,185,0.01345217886398189,0.8521398035883425
49,AU,0,1,750,484,0.01993155809132384,0.8323646452390372
49,VA,0,1,750,484,0.007727518818016357,1.1416295861419676
49,expression,0,1,750,484,0.02773756295914578,0.8989234367503767
50,AU,0,1,750,481,0.014696630460855002,0.6636787856222542
50,VA,0,1,750,481,0.004388888364097643,1.0484323448712114
50,expression,0,1,750,481,0.01460228845972786,0.7708593988156631
51,AU,0,1,750,384,0.01664204019897709,0.7426204601291209
51,VA,0,1,750,384,0.006270910487460108,0.9884250406509065
51,expression,0,1,750,384,0.018047526903174568,0.4927072548451341
52,AU,0,1,750,750,0.01934575095793887,1.103346117842182
52,AU,1,2,750,750,0.019674832120148485,0.719306941023197
52,AU,2,3,750,750,0.02281601452268678,0.7317501821150394
52,AU,3,4,750,750,0.03194490368001776,0.9158771290596309
52,AU,4,5,750,750,0.019195043132227117,0.5951044773550437
52,AU,5,6,750,750,0.019331585986073964,0.914165098131238
52,AU,6,7,750,446,0.023925719190203504,0.7914445969665085
52,VA,0,1,750,750,0.014527107770525498,1.2429763214675658
52,VA,1,2,750,750,0.016097137408373027,0.9342226430869046
