arm,step,input_index,group,candidate_mse_offdiag,centered_candidate_mse_offdiag,temporal_variance,speed_abs,near_duplicate_pairs_mse_lt_1e_8,minimum,maximum
MAM,archive,38,VA,0.11587409505634177,0.0076668508417355825,0.02375102951257831,0.029061105553216705,0,-0.646925687789917,0.8197600841522217
MAM,archive,38,expression,0.09168535250323327,0.0262045093754524,0.024076695753692694,0.02050990444233731,0,6.149575426661613e-08,0.9999525547027588
MAM,archive,39,AU,0.14125466551823143,0.07987258711749427,0.08810182885527226,0.021669902912621358,0,0.0,1.0
MAM,archive,39,VA,0.12383006920329874,0.009092364072815195,0.018350713363386412,0.036773637803135785,0,-0.7713108062744141,0.659454882144928
MAM,archive,39,expression,0.0922983217445439,0.031215060811268045,0.021621400123049462,0.024063674471759715,0,5.5312739277724177e-08,0.9998584985733032
MAM,archive,40,AU,0.1620882875495422,0.09491503131513479,0.07058575919092526,0.034,0,0.0,1.0
MAM,archive,40,VA,0.13454405310862597,0.0031025588958175734,0.00981988240824733,0.04219201106483255,0,-0.7017899751663208,0.682662844657898
MAM,archive,40,expression,0.1307958236704933,0.021171440365587244,0.014294287755169102,0.02470099216092669,0,1.2410755800829065e-07,0.999273955821991
MAM,archive,41,AU,0.14316445604116837,0.09031579655068384,0.11672711459012822,0.019398692810457516,0,0.0,1.0
MAM,archive,41,VA,0.15346581285693928,0.007814421602332497,0.03361250868551184,0.03777386298630839,0,-0.5686804056167603,0.8664467334747314
MAM,archive,41,expression,0.09072715273302055,0.0350814765548422,0.03272001547886189,0.014208243335217977,0,6.595384238750057e-09,0.999984860420227
MAM,archive,42,AU,0.19858875171467763,0.09692495005842604,0.07523586012501267,0.02340993328391401,0,0.0,1.0
MAM,archive,42,VA,0.12655876017430262,0.004386818918504092,0.010686254083498848,0.030187388870810437,0,-0.6153056621551514,0.7901667356491089
MAM,archive,42,expression,0.11231105653767283,0.015473542058521734,0.011405886686854699,0.01794611447438646,0,8.495140946251922e-08,0.9998977184295654
MAM,archive,43,AU,0.13745650953984287,0.08130495160995478,0.10466608621762687,0.016195892575039495,0,0.0,1.0
MAM,archive,43,VA,0.13823228668909904,0.007425902967262936,0.023817575009480035,0.03196503246807762,0,-0.7470789551734924,0.8629776835441589
MAM,archive,43,expression,0.11258412940873828,0.03479687582783136,0.031456873680836384,0.014776439268348355,0,1.1388442189286252e-08,0.9999817609786987
MAM,archive,44,AU,0.18086342688922796,0.11354105944964335,0.1030813273582871,0.01970857618651124,0,0.0,1.0
