arm,step,input_index,FRC,target_side_mean,one_to_one_mean,selected_slots,selected_distinct_content,unique_reference_contents,duplicate_reference_slots,selected_distinct_slots
MAM,archive,23,0.853846838400808,0.04906584751122291,0.043855956555741066,"[7, 7, 3, 7, 7, 5, 0, 7, 7, 5]",4,10,0,4
MAM,archive,24,1.0054185403907598,0.09053835078839387,0.0733193958812901,"[7, 2, 7, 2, 7, 5, 7, 2, 5, 7]",3,10,0,3
MAM,archive,25,0.9055790053285234,0.05563062229362874,0.047504895427156066,"[0, 0, 9, 0, 0, 0, 0, 0, 2, 0]",3,10,0,3
MAM,archive,26,0.6142539728659642,0.058317127856531335,0.04252563534095856,"[0, 0, 9, 9, 0, 0, 0, 0, 0, 0]",2,10,0,2
MAM,archive,27,0.6802501463354497,0.050486614361500357,0.0379473825058016,"[0, 8, 0, 8, 8, 8, 8, 3, 8, 8]",3,10,0,3
MAM,archive,28,1.5642263338028677,0.0783272668789984,0.07248341813087837,"[6, 5, 6, 5, 6, 5, 5, 5, 5, 6]",2,10,0,2
MAM,archive,29,0.7027486524575752,0.053835311339032965,0.04792588454686442,"[1, 9, 5, 0, 5, 1, 1, 1, 5, 1]",4,10,0,4
MAM,archive,30,0.2503903312595928,0.01742513263079212,0.012797570299776528,"[3, 1, 2, 2, 2, 2, 2, 2, 2, 2]",3,10,0,3
MAM,archive,31,0.50278678326789,0.0210355912938582,0.016397099240931044,"[5, 5, 0, 5, 5, 5, 5, 5, 5, 0]",2,10,0,2
MAM,archive,32,1.0201056512220026,0.04324383383707909,0.04043364662751111,"[3, 2, 9, 2, 2, 3, 2, 3, 3, 2]",3,10,0,3
MAM,archive,33,0.701253554200584,0.04077342919681475,0.038620803016297035,"[1, 9, 2, 3, 9, 3, 9, 9, 3, 2]",4,10,0,4
MAM,archive,34,1.3095254775838627,0.04624127284792742,0.04095607488835304,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,10,0,1
MAM,archive,35,0.974928692082258,0.031896563785737526,0.028581480539174097,"[7, 0, 0, 0, 7, 0, 0, 0, 0, 0]",2,10,0,2
MAM,archive,36,1.5634001221160856,0.05935221628838559,0.05638178438014344,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1,10,0,1
MAM,archive,37,0.7074431288835065,0.011769515284339893,0.009344773365147321,"[2, 2, 4, 2, 2, 2, 2, 2, 2, 2]",2,10,0,2
MAM,archive,38,1.4726134950373997,0.07018511812955493,0.06127005594486488,"[0, 1, 0, 1, 1, 1, 1, 1, 1, 0]",2,10,0,2
MAM,archive,39,1.6090423270365304,0.042074511543409424,0.03313504962796383,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",1,10,0,1
