model,source,target_side_mean,candidate_best_mean
T0,21,0.0789662405337315,0.1356909803007393
T0,22,0.09245401091045936,0.13335795994950161
T0,23,0.08738992618247451,0.1047013035392235
T0,24,0.08143107650853394,0.15836509730243734
T0,25,0.09449800821284164,0.14672861353570746
T0,26,0.0752461866886871,0.10428010989039782
T0,27,0.07239555457058769,0.09228328223711575
T0,28,0.0892937242307219,0.11176641947755503
T0,29,0.04768100866124875,0.07348341181602548
T0,30,0.05539470128300513,0.06564310189660053
T0,31,0.0554672266160667,0.07469736541632477
T0,32,0.06581887560953945,0.1063470421168988
T0,33,0.08620026655316408,0.11935810263523414
T0,34,0.08002058622849254,0.12881591882793125
T0,35,0.08417277943737232,0.12022192415876012
T0,36,0.08841847490720366,0.15336557036525464
T0,37,0.07464219118147646,0.12477938056816551
T0,38,0.09070711300889434,0.16014968050220127
T0,39,0.09569566171423888,0.13924335938374993
T0,40,0.06466893462842144,0.06604325060623359
T0,41,0.09041201335128479,0.18893379552783263
T0,42,0.04346879576402322,0.05199345855314791
T0,43,0.07972010933011162,0.15894473612963386
T0,44,0.05084806022648517,0.06474398322151335
T0,45,0.0602969994338,0.07540517273279325
T0,46,0.03932924308343808,0.09059414104317727
T0,47,0.08545640884660421,0.13705606871367443
T0,48,0.08802563370383311,0.11634521913635601
T0,49,0.0369332362696941,0.08008552021372614
T0,50,0.05966470844006324,0.06943664216552226
T0,51,0.05724102574639992,0.1065151031826816
T0,52,0.046461820762196085,0.06589321889215506
T0,53,0.02991405717476972,0.029821283604835574
T0,54,0.03994031753756722,0.04508333367588933
T0,55,0.05191592377085543,0.06329748717280717
T0,56,0.08678948139799161,0.15312049192473562
T0,57,0.11658654717775556,0.15375319351133013
T0,58,0.09236780978472088,0.18400195212512724
T0,59,0.07933826916718117,0.14036059791430963
T0,60,0.06180334930744631,0.07118238920939446
T0,61,0.052708006685164996,0.07398220380213269
T0,62,0.026029791682047353,0.025818445449496484
T0,63,0.04427815963386609,0.05242401453699754
T0,64,0.038916556337162206,0.05723967201863757
T0,65,0.04372127591640611,0.08014385242269383
T0,66,0.039342618059212034,0.059963529093702686
T0,67,0.023345483908863155,0.04617745279541339
T0,68,0.022862609233230125,0.03251961611788617
T0,69,0.026038836381640486,0.03159213281246892
T0,70,0.02582744185718156,0.02926525264548192
T0,71,0.01983869885144479,0.026996310926192608
T0,72,0.050298015728521064,0.06520327375564433
T0,73,0.02991529156106707,0.03765990367891765
T0,74,0.035187747970759624,0.036580983510968536
T0,75,0.03698295281517395,0.03633013805374261
T0,76,0.05461777335420185,0.06990858162123327
T0,77,0.06636187327189333,0.0778852183687249
T0,78,0.04058880211612937,0.05419325262900494
T0,79,0.07545261426281946,0.08697569485272513
T1,0,0.014811193370182829,0.0354772145846892
T1,1,0.020087299144671604,0.05217262744873761
T1,2,0.030932061982506094,0.052898661166350315
T1,3,0.02092981316123099,0.049334408519452186
T1,4,0.09560208855435506,0.11774785277955277
T1,5,0.08301593224947677,0.11535105829259913
T1,6,0.07371781269689111,0.08239271737344714
T1,7,0.0753792140285714,0.09873593709272101
T1,8,0.05182053042690481,0.06038249697498087
T1,9,0.051037015116167074,0.0795610234383776
