model,source,candidate,best_CCC
MAM,43,5,0.12666843301712002
MAM,43,6,0.11046757957439109
MAM,43,7,0.12390649376932748
MAM,43,8,0.16827212984412154
MAM,43,9,0.2339098590877638
MAM,44,0,0.1101004704877757
MAM,44,1,0.07797603287963216
MAM,44,2,0.11666193350114579
MAM,44,3,0.0754391970633349
MAM,44,4,0.07041473383254705
MAM,44,5,0.09211313361600273
MAM,44,6,0.07629942366002399
MAM,44,7,0.0563781744829384
MAM,44,8,0.06911073101067963
MAM,44,9,0.1267920863894387
MAM,45,0,0.042961262701302586
MAM,45,1,0.04428399613566903
MAM,45,2,0.029932783752055804
MAM,45,3,0.04800863905022974
MAM,45,4,0.012720713252151739
MAM,45,5,0.04949135317502215
MAM,45,6,0.024906733809512957
MAM,45,7,0.03894185775208739
MAM,45,8,0.04317551584469264
MAM,45,9,0.07493577505179988
MAM,46,0,0.0677578579232903
MAM,46,1,0.05970535660551279
MAM,46,2,0.05936693851811351
MAM,46,3,0.05577304169345694
MAM,46,4,0.050035382715550386
MAM,46,5,0.05464076641559604
MAM,46,6,0.04326814379351252
MAM,46,7,0.053420792052010294
MAM,46,8,0.04893348939424129
MAM,46,9,0.06428342418769982
MAM,47,0,0.16569172706328486
MAM,47,1,0.08634946078991775
MAM,47,2,0.1262425345100411
MAM,47,3,0.07229049803440976
MAM,47,4,0.08985422078509098
MAM,47,5,0.09478549166408388
MAM,47,6,0.07229638989191944
MAM,47,7,0.08372893382326209
MAM,47,8,0.0829384308185168
MAM,47,9,0.1828565432023281
MAM,48,0,0.11339897988185077
MAM,48,1,0.07711096969232671
MAM,48,2,0.08577857276827712
MAM,48,3,0.0786685509997137
MAM,48,4,0.10681469955450572
MAM,48,5,0.09701377255408039
MAM,48,6,0.06692759119715781
MAM,48,7,0.11259428661985611
MAM,48,8,0.06941116863535886
MAM,48,9,0.15174722960045275
MAM,49,0,0.025383686392902692
MAM,49,1,0.02705776730333557
MAM,49,2,0.05044744863588739
MAM,49,3,0.01881137542856308
MAM,49,4,0.024281209811789262
MAM,49,5,0.02824845595309336
MAM,49,6,0.04730804305668042
MAM,49,7,0.00040381041288567286
MAM,49,8,0.0133593655775192
MAM,49,9,0.04081076587184912
MAM,50,0,0.14355384243364772
MAM,50,1,0.16529612593994372
MAM,50,2,0.09720105226526252
MAM,50,3,0.11979458436874418
MAM,50,4,0.06865404117517587
MAM,50,5,0.0902023988964074
MAM,50,6,0.06069035671600697
MAM,50,7,0.09552454461269398
MAM,50,8,0.1307572204855821
MAM,50,9,0.13066102436690405
MAM,51,0,0.17569623117011549
MAM,51,1,0.13670103674591966
MAM,51,2,0.09008970834329282
MAM,51,3,0.13806003957402055
MAM,51,4,0.13399815887496128
MAM,51,5,0.13267243982244348
MAM,51,6,0.10958445965490221
MAM,51,7,0.16298062683301398
MAM,51,8,0.09539008401318685
MAM,51,9,0.1947681443950953
MAM,52,0,0.14562649392634758
MAM,52,1,0.06251273177194713
MAM,52,2,0.07154873477046328
MAM,52,3,0.06868438015244602
MAM,52,4,0.09206088670689709
MAM,52,5,0.11119965571789515
MAM,52,6,0.07555194121629866
MAM,52,7,0.06193045764591134
MAM,52,8,0.06812771069921707
MAM,52,9,0.1580884544159834
MAM,53,0,0.05439301233130644
MAM,53,1,0.0365249865278733
MAM,53,2,0.046643622245434856
MAM,53,3,0.04432864409575604
MAM,53,4,0.04875896088167984
MAM,53,5,0.06092371762581683
MAM,53,6,0.05200011143864458
MAM,53,7,0.04639247394132231
MAM,53,8,0.040198339918015
MAM,53,9,0.06341233402214844
MAM,54,0,0.15718011108625785
MAM,54,1,0.09248900389689427
MAM,54,2,0.09547386052151496
MAM,54,3,0.08705547209450895
MAM,54,4,0.11930889409718992
MAM,54,5,0.12737493110819428
MAM,54,6,0.12922078044136429
MAM,54,7,0.11566118735284996
MAM,54,8,0.0877010390249069
MAM,54,9,0.14144677862433327
MAM,55,0,0.2015820017940987
MAM,55,1,0.17659284344157022
MAM,55,2,0.09952687097974261
MAM,55,3,0.18761996036333828
MAM,55,4,0.16955525996835866
MAM,55,5,0.20876476710663947
MAM,55,6,0.16722792105506595
MAM,55,7,0.1850726042889103
MAM,55,8,0.14911764813128486
MAM,55,9,0.20670147205141604
MAM,56,0,0.03194074361355305
MAM,56,1,0.05369930577123036
MAM,56,2,0.006961905273823549
MAM,56,3,0.05454166659206273
MAM,56,4,0.05093799844644971
MAM,56,5,0.0884976365762479
MAM,56,6,0.08185056807300711
MAM,56,7,0.1123562096012247
MAM,56,8,0.04278017749726448
MAM,56,9,0.08990114740896356
MAM,57,0,0.19456717708342378
MAM,57,1,0.06556919480713141
MAM,57,2,0.15011686612265085
MAM,57,3,0.047313091885161584
MAM,57,4,0.08257551304362916
MAM,57,5,0.07140305150823735
MAM,57,6,0.06886434710503711
MAM,57,7,0.09715565597705154
MAM,57,8,0.05531570147030496
MAM,57,9,0.21319197417050187
MAM,58,0,0.20994265667775722
MAM,58,1,0.13625541444391698
MAM,58,2,0.22930185881895326
MAM,58,3,0.1306094732441353
MAM,58,4,0.1404739532553004
MAM,58,5,0.1630274094999433
MAM,58,6,0.13403619823270196
