model,source,group,dimension_weight,total,DC,slow,fast,identity_error,speed,acceleration,total_contribution,DC_contribution,slow_contribution,fast_contribution
A12000,42,VA,0.08,0.0481635233124495,0.0049622597450914635,0.035269083312471715,0.007932180254886324,6.938893903907228e-18,0.06243800188445086,0.10789079229021803,0.00385308186499596,0.0003969807796073171,0.002821526664997737,0.000634574420390906
A12000,42,expression,0.32,0.09194257966481634,0.008635292601660354,0.06441846916776242,0.018888817895393584,1.3877787807814457e-17,0.04554022406965449,0.0815367350650476,0.02942162549274123,0.0027632936325313134,0.020613910133683976,0.006044421726525947
A12000,43,AU,0.6,0.17871622496785228,0.01076443589147733,0.1108635156821889,0.057088273394186026,2.7755575615628914e-17,0.07159281807399907,0.1382723419658408,0.10722973498071137,0.006458661534886398,0.06651810940931334,0.03425296403651162
A12000,43,VA,0.08,0.05202902610058138,0.004960638689381944,0.03893700323294242,0.008131384178257012,6.938893903907228e-18,0.060970449543257144,0.10475479799823478,0.004162322088046511,0.0003968510951505555,0.0031149602586353934,0.000650510734260561
A12000,43,expression,0.32,0.10333506060110743,0.00883182469278825,0.07467989715403602,0.019823338754283184,1.3877787807814457e-17,0.049266608740326685,0.08756911672727284,0.03306721939235438,0.0028261839016922403,0.023897567089291524,0.006343468401370619
A12000,44,AU,0.6,0.23749244536092973,0.00910974798356273,0.14907484534997845,0.07930785202738856,0.0,0.09736832341257985,0.1887792753770079,0.14249546721655781,0.005465848790137637,0.08944490720998706,0.04758471121643313
A12000,44,VA,0.08,0.0842300396036202,0.0030624796219081286,0.06937522759900604,0.011792332382706041,0.0,0.07294822674382735,0.12545895219681294,0.006738403168289616,0.0002449983697526503,0.005550018207920483,0.0009433865906164833
A12000,44,expression,0.32,0.11221458591204875,0.005071156300365868,0.08662052778238478,0.020522901829298085,1.3877787807814457e-17,0.05040995831237614,0.0901259457887282,0.035908667491855596,0.0016227700161170777,0.02771856889036313,0.006567328585375387
A12000,45,AU,0.6,0.19934628432667256,0.00802154971016953,0.11660345920459604,0.07472127541190701,2.7755575615628914e-17,0.09269177746169463,0.18006633805590866,0.11960777059600353,0.004812929826101719,0.06996207552275763,0.044832765247144205
A12000,45,VA,0.08,0.06706318838426377,0.006061319838080679,0.0497621746141093,0.011239693932073818,2.7755575615628914e-17,0.07406428188924409,0.12747451828323048,0.005365055070741102,0.00048490558704645436,0.003980973969128744,0.0008991755145659054
A12000,45,expression,0.32,0.10558050961393109,0.006512471582442433,0.07477812108253949,0.024289916948949154,1.3877787807814457e-17,0.056744223487811905,0.10186720259345959,0.03378576307645795,0.0020839909063815787,0.023928998746412636,0.007772773423663729
A12000,46,AU,0.6,0.20282122767168564,0.006360007240938802,0.12209808929977596,0.07436313113097084,2.7755575615628914e-17,0.09162927416264248,0.17810032171342702,0.12169273660301139,0.003816004344563281,0.07325885357986557,0.0446178786785825
A12000,46,VA,0.08,0.07189712123107882,0.005553301520587973,0.05662558076843057,0.009718238942060265,1.3877787807814457e-17,0.06982005156285749,0.12052950598310146,0.005751769698486306,0.00044426412164703786,0.004530046461474446,0.0007774591153648212
A12000,46,expression,0.32,0.10178012073837293,0.008110896361742066,0.07246965401445342,0.02119957036217746,1.3877787807814457e-17,0.05193250061057925,0.09279535252975386,0.03256963863627934,0.002595486835757461,0.023190289284625094,0.006783862515896787
A12000,47,AU,0.6,0.17027638422378663,0.005695862670530958,0.09957768328340925,0.06500283826984644,2.7755575615628914e-17,0.08007022916939574,0.15563313477545573,0.10216583053427199,0.003417517602318575,0.05974660997004556,0.039001702961907865
A12000,47,VA,0.08,0.05655810749669527,0.0038172861323481815,0.04378765380271053,0.008953167561636567,1.3877787807814457e-17,0.06700860049018852,0.11525255035134498,0.0045246485997356214,0.00030538289058785453,0.0035030123042168425,0.0007162534049309253
