model,source,raw_FRC,P8_prediction_only_FRC
seed123_A_step6000,55,0.34774914383888245,0.450876384973526
seed123_A_step6000,56,0.45094335079193115,0.5308300256729126
seed123_A_step6000,57,0.5823779106140137,0.7041040658950806
seed123_A_step6000,58,0.5386987328529358,0.7054624557495117
seed123_A_step6000,59,0.3016597628593445,0.39178037643432617
seed123_A_step6000,60,0.5091375112533569,0.6124551296234131
seed123_A_step6000,61,0.2676776051521301,0.3507247865200043
seed123_A_step6000,62,0.24208447337150574,0.3087046444416046
seed123_A_step6000,63,0.1923208385705948,0.24869340658187866
seed123_A_step6000,64,0.44400981068611145,0.5793625116348267
seed123_A_step6000,65,0.32438892126083374,0.4242768883705139
seed123_A_step6000,66,0.2965235710144043,0.38348618149757385
seed123_A_step6000,67,0.4141879975795746,0.5083591938018799
